# File Name: Holy-Bible---Holy-Bible---Shona---Rakasununguka---Analysis.txt
# File Size: 41340       
# File Date: 12/13/2025 05:58:51
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Bhaibheri MuChiShona Chanhasi
# Bible Name English: Shona Free Holy Bible
# Bible Language: chiShona
# Bible Language English: Shona
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0, International
# Bible Source: Biblica, Inc.
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=sna
# Bible Source Year: 2005, 2018
# Bible Description: Original work available for free at www.biblica.com and open.bible
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Shona---Rakasununguka	ENCODING	Source	Holy-Bible---Shona---Rakasununguka---Source-Edition.VPL.txt	UTF-8	NOTICE
Shona---Rakasununguka	ENCODING	Aionian	Holy-Bible---Shona---Rakasununguka---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Shona---Rakasununguka	BYTES	Source	bytes / chars	4254223 / 4217178 (multi-byte)	NOTICE
Shona---Rakasununguka	BYTES	Aionian	bytes / chars	4465750 / 4430363 (multi-byte)	NOTICE
Shona---Rakasununguka	BYTES	SourceClean	bytes / chars	4253395 / 4216350 (multi-byte)	NOTICE
Shona---Rakasununguka	BYTES	AionianClean	bytes / chars	4462113 / 4426726 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Shona---Rakasununguka	AIONIAN	Aionian	book-not-exist	0	NOTICE
Shona---Rakasununguka	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Shona---Rakasununguka	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Shona---Rakasununguka	AIONIAN	Aionian	missing-chapter	0	NOTICE
Shona---Rakasununguka	AIONIAN	Aionian	missing-verse	0	NOTICE
Shona---Rakasununguka	AIONIAN	Aionian	aionian-verses	264	NOTICE
Shona---Rakasununguka	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Shona---Rakasununguka	UNPRINTABLE	Source	count	0	NOTICE
Shona---Rakasununguka	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Shona---Rakasununguka	UNICODE	Summary	(-)Orginal	47	NOTICE
Shona---Rakasununguka	UNICODE	Summary	(+)Aionian	51	NOTICE
Shona---Rakasununguka	UNICODE	Source(-)	Basic Latin : (G)	3930	NOTICE
Shona---Rakasununguka	UNICODE	Source(-)	Basic Latin : ( )	507535	NOTICE
Shona---Rakasununguka	UNICODE	Source(-)	Basic Latin : (1)	30445	NOTICE
Shona---Rakasununguka	UNICODE	Source(-)	Basic Latin : (:)	33138	NOTICE
Shona---Rakasununguka	UNICODE	Source(-)	Basic Latin : (P)	6436	NOTICE
Shona---Rakasununguka	UNICODE	Source(-)	Basic Latin : (a)	631973	NOTICE
Shona---Rakasununguka	UNICODE	Source(-)	Basic Latin : (k)	191254	NOTICE
Shona---Rakasununguka	UNICODE	Source(-)	Basic Latin : (u)	228796	NOTICE
Shona---Rakasununguka	UNICODE	Source(-)	Basic Latin : (t)	82938	NOTICE
