# File Name: Holy-Bible---Holy-Bible---Shona---Shona-Bible---Analysis.txt
# File Size: 19330       
# File Date: 12/13/2025 05:58:57
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Bhaibheri
# Bible Name English: Shona Bible
# Bible Language: chiShona
# Bible Language English: Shona
# Bible Copyright Format: GNU Free Documentation License, 2018-2025
# Bible Copyright Text: GNU Free Documentation License
# Bible Source: A work in progress at Crosswire.org
# Bible Source Version: 8/18/2022
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=Shona
# Bible Source Year: 2013
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Shona---Shona-Bible	ENCODING	Source	Holy-Bible---Shona---Shona-Bible---Source-Edition.SWORD.txt	ASCII	WARNING
Shona---Shona-Bible	ENCODING	Aionian	Holy-Bible---Shona---Shona-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Shona---Shona-Bible	BYTES	Source	bytes / chars	1154529 / 1154529 (single-byte)	NOTICE
Shona---Shona-Bible	BYTES	Aionian	bytes / chars	1014148 / 1013960 (multi-byte)	NOTICE
Shona---Shona-Bible	BYTES	SourceClean	bytes / chars	993280 / 993280 (single-byte)	NOTICE
Shona---Shona-Bible	BYTES	AionianClean	bytes / chars	1011990 / 1011802 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Shona---Shona-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Shona---Shona-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Shona---Shona-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Shona---Shona-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Shona---Shona-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Shona---Shona-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Shona---Shona-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Shona---Shona-Bible	UNPRINTABLE	Source	count	0	NOTICE
Shona---Shona-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Shona---Shona-Bible	UNICODE	Summary	(-)Orginal	61	NOTICE
Shona---Shona-Bible	UNICODE	Summary	(+)Aionian	63	NOTICE
Shona---Shona-Bible	UNICODE	Source(-)	Basic Latin : ([)	1	NOTICE
Shona---Shona-Bible	UNICODE	Source(-)	Basic Latin : ( )	120199	NOTICE
Shona---Shona-Bible	UNICODE	Source(-)	Basic Latin : (T)	757	NOTICE
Shona---Shona-Bible	UNICODE	Source(-)	Basic Latin : (e)	55316	NOTICE
Shona---Shona-Bible	UNICODE	Source(-)	Basic Latin : (s)	25484	NOTICE
Shona---Shona-Bible	UNICODE	Source(-)	Basic Latin : (t)	26441	NOTICE
Shona---Shona-Bible	UNICODE	Source(-)	Basic Latin : (a)	135569	NOTICE
Shona---Shona-Bible	UNICODE	Source(-)	Basic Latin : (m)	28195	NOTICE
Shona---Shona-Bible	UNICODE	Source(-)	Basic Latin : (n)	58241	NOTICE
Shona---Shona-Bible	UNICODE	Source(-)	Basic Latin : (2)	4750	NOTICE
Shona---Shona-Bible	UNICODE	Source(-)	Basic Latin : (H)	697	NOTICE
