# File Name: Holy-Bible---Holy-Bible---SlavonicChurch---Church-Slavonic-Elizabeth---Analysis.txt
# File Size: 45930       
# File Date: 12/13/2025 05:59:02
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Библия церковно-славянском языке
# Bible Name English: Church Slavonic Elizabeth Bible
# Bible Language: церковно-славянском
# Bible Language English: Slavonic, Church
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: RusBible.ru with modern spelling
# Bible Source Version: 8/10/2022
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=CSlElizabeth
# Bible Source Year: 1757
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
SlavonicChurch---Church-Slavonic-Elizabeth	ENCODING	Source	Holy-Bible---SlavonicChurch---Church-Slavonic-Elizabeth---Source-Edition.SWORD.txt	UTF-8	NOTICE
SlavonicChurch---Church-Slavonic-Elizabeth	ENCODING	Aionian	Holy-Bible---SlavonicChurch---Church-Slavonic-Elizabeth---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
SlavonicChurch---Church-Slavonic-Elizabeth	BYTES	Source	bytes / chars	7237897 / 4321555 (multi-byte)	NOTICE
SlavonicChurch---Church-Slavonic-Elizabeth	BYTES	Aionian	bytes / chars	6226390 / 3701554 (multi-byte)	NOTICE
SlavonicChurch---Church-Slavonic-Elizabeth	BYTES	SourceClean	bytes / chars	7118658 / 4202316 (multi-byte)	NOTICE
SlavonicChurch---Church-Slavonic-Elizabeth	BYTES	AionianClean	bytes / chars	6220818 / 3697199 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
SlavonicChurch---Church-Slavonic-Elizabeth	AIONIAN	Aionian	book-not-exist	0	NOTICE
SlavonicChurch---Church-Slavonic-Elizabeth	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
SlavonicChurch---Church-Slavonic-Elizabeth	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
SlavonicChurch---Church-Slavonic-Elizabeth	AIONIAN	Aionian	missing-chapter	0	NOTICE
SlavonicChurch---Church-Slavonic-Elizabeth	AIONIAN	Aionian	missing-verse	0	NOTICE
SlavonicChurch---Church-Slavonic-Elizabeth	AIONIAN	Aionian	aionian-verses	264	NOTICE
SlavonicChurch---Church-Slavonic-Elizabeth	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
SlavonicChurch---Church-Slavonic-Elizabeth	UNPRINTABLE	Source	count	0	NOTICE
SlavonicChurch---Church-Slavonic-Elizabeth	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
SlavonicChurch---Church-Slavonic-Elizabeth	UNICODE	Summary	(-)Orginal	125	NOTICE
SlavonicChurch---Church-Slavonic-Elizabeth	UNICODE	Summary	(+)Aionian	124	NOTICE
SlavonicChurch---Church-Slavonic-Elizabeth	UNICODE	Source(-)	Basic Latin : ([)	2	NOTICE
SlavonicChurch---Church-Slavonic-Elizabeth	UNICODE	Source(-)	Basic Latin : ( )	688962	NOTICE
SlavonicChurch---Church-Slavonic-Elizabeth	UNICODE	Source(-)	Basic Latin : (T)	665	NOTICE
