# File Name: Holy-Bible---Holy-Bible---Slovene---Slovene-Stritarja-NT---Analysis.txt
# File Size: 34008       
# File Date: 12/13/2025 05:59:22
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Slovenščina Novi Testament in Psalmi, Stritarja
# Bible Name English: Slovene New Testament and Psalms, Stritar
# Bible Language: Slovenščina
# Bible Language English: Slovene
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Josip Stritar, British and Foreign Bible Society
# Bible Source Version: 8/18/2022
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=SloStritar
# Bible Source Year: 1882
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Slovene---Slovene-Stritarja-NT	ENCODING	Source	Holy-Bible---Slovene---Slovene-Stritarja-NT---Source-Edition.SWORD.txt	UTF-8	NOTICE
Slovene---Slovene-Stritarja-NT	ENCODING	Aionian	Holy-Bible---Slovene---Slovene-Stritarja-NT---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Slovene---Slovene-Stritarja-NT	BYTES	Source	bytes / chars	1286041 / 1258804 (multi-byte)	NOTICE
Slovene---Slovene-Stritarja-NT	BYTES	Aionian	bytes / chars	1194419 / 1167006 (multi-byte)	NOTICE
Slovene---Slovene-Stritarja-NT	BYTES	SourceClean	bytes / chars	1165952 / 1138737 (multi-byte)	NOTICE
Slovene---Slovene-Stritarja-NT	BYTES	AionianClean	bytes / chars	1192102 / 1164700 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Slovene---Slovene-Stritarja-NT	AIONIAN	Aionian	book-not-exist	0	NOTICE
Slovene---Slovene-Stritarja-NT	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Slovene---Slovene-Stritarja-NT	AIONIAN	Aionian	book-defined-not-exist	49	NOTICE
Slovene---Slovene-Stritarja-NT	AIONIAN	Aionian	missing-chapter	0	NOTICE
Slovene---Slovene-Stritarja-NT	AIONIAN	Aionian	missing-verse	0	NOTICE
Slovene---Slovene-Stritarja-NT	AIONIAN	Aionian	aionian-verses	215	NOTICE
Slovene---Slovene-Stritarja-NT	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Slovene---Slovene-Stritarja-NT	UNPRINTABLE	Source	count	0	NOTICE
Slovene---Slovene-Stritarja-NT	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Slovene---Slovene-Stritarja-NT	UNICODE	Summary	(-)Orginal	63	NOTICE
Slovene---Slovene-Stritarja-NT	UNICODE	Summary	(+)Aionian	65	NOTICE
Slovene---Slovene-Stritarja-NT	UNICODE	Source(-)	Basic Latin : ([)	4	NOTICE
Slovene---Slovene-Stritarja-NT	UNICODE	Source(-)	Basic Latin : ( )	191020	NOTICE
Slovene---Slovene-Stritarja-NT	UNICODE	Source(-)	Basic Latin : (T)	1415	NOTICE
Slovene---Slovene-Stritarja-NT	UNICODE	Source(-)	Basic Latin : (e)	90790	NOTICE
Slovene---Slovene-Stritarja-NT	UNICODE	Source(-)	Basic Latin : (s)	48766	NOTICE
Slovene---Slovene-Stritarja-NT	UNICODE	Source(-)	Basic Latin : (t)	36166	NOTICE
