# File Name: Holy-Bible---Holy-Bible---Somau-Karia---Somau-Karia-Bible---Analysis.txt
# File Size: 79468       
# File Date: 12/13/2025 05:59:35
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Xoiteupo Kuna
# Bible Name English: Somau Karia Bible
# Bible Language: Somau Garia
# Bible Language English: Somau Karia
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Pioneer Bible Translators
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=six
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Somau-Karia---Somau-Karia-Bible	ENCODING	Source	Holy-Bible---Somau-Karia---Somau-Karia-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Somau-Karia---Somau-Karia-Bible	ENCODING	Aionian	Holy-Bible---Somau-Karia---Somau-Karia-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Somau-Karia---Somau-Karia-Bible	BYTES	Source	bytes / chars	512762 / 508826 (multi-byte)	NOTICE
Somau-Karia---Somau-Karia-Bible	BYTES	Aionian	bytes / chars	534148 / 530170 (multi-byte)	NOTICE
Somau-Karia---Somau-Karia-Bible	BYTES	SourceClean	bytes / chars	511929 / 507993 (multi-byte)	NOTICE
Somau-Karia---Somau-Karia-Bible	BYTES	AionianClean	bytes / chars	532456 / 528478 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Somau-Karia---Somau-Karia-Bible	AIONIAN	Aionian	missing-verse	044-ACT-015-018	NOTICE
Somau-Karia---Somau-Karia-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Somau-Karia---Somau-Karia-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Somau-Karia---Somau-Karia-Bible	AIONIAN	Aionian	book-defined-not-exist	221	NOTICE
Somau-Karia---Somau-Karia-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Somau-Karia---Somau-Karia-Bible	AIONIAN	Aionian	missing-verse	1	NOTICE
Somau-Karia---Somau-Karia-Bible	AIONIAN	Aionian	aionian-verses	42	NOTICE
Somau-Karia---Somau-Karia-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Somau-Karia---Somau-Karia-Bible	UNPRINTABLE	Source	count	0	NOTICE
Somau-Karia---Somau-Karia-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Somau-Karia---Somau-Karia-Bible	UNICODE	Summary	(-)Orginal	26	NOTICE
Somau-Karia---Somau-Karia-Bible	UNICODE	Summary	(+)Aionian	33	NOTICE
Somau-Karia---Somau-Karia-Bible	UNICODE	Source(-)	Basic Latin : ( )	69881	NOTICE
Somau-Karia---Somau-Karia-Bible	UNICODE	Source(-)	Basic Latin : (1)	2652	NOTICE
Somau-Karia---Somau-Karia-Bible	UNICODE	Source(-)	Basic Latin : (:)	2932	NOTICE
Somau-Karia---Somau-Karia-Bible	UNICODE	Source(-)	Basic Latin : (a)	54481	NOTICE
Somau-Karia---Somau-Karia-Bible	UNICODE	Source(-)	Basic Latin : (i)	62499	NOTICE
