# File Name: Holy-Bible---Holy-Bible---Spanish---Free-Bible---Analysis.txt
# File Size: 195209      
# File Date: 12/13/2025 05:59:47
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Biblia Libre
# Bible Name English: Spanish Free Bible Version
# Bible Language: Español
# Bible Language English: Spanish
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Jonathan Gallagher and Shelly Barrios de Avila
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=spavbl
# Bible Source Year: 2018
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Spanish---Free-Bible	ENCODING	Source	Holy-Bible---Spanish---Free-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Spanish---Free-Bible	ENCODING	Aionian	Holy-Bible---Spanish---Free-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Spanish---Free-Bible	BYTES	Source	bytes / chars	4486685 / 4350911 (multi-byte)	NOTICE
Spanish---Free-Bible	BYTES	Aionian	bytes / chars	4700607 / 4564625 (multi-byte)	NOTICE
Spanish---Free-Bible	BYTES	SourceClean	bytes / chars	4485868 / 4350094 (multi-byte)	NOTICE
Spanish---Free-Bible	BYTES	AionianClean	bytes / chars	4697055 / 4561093 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Spanish---Free-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Spanish---Free-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Spanish---Free-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Spanish---Free-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Spanish---Free-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Spanish---Free-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Spanish---Free-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Spanish---Free-Bible	UNPRINTABLE	Source	count	0	NOTICE
Spanish---Free-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Spanish---Free-Bible	UNICODE	Summary	(-)Orginal	53	NOTICE
Spanish---Free-Bible	UNICODE	Summary	(+)Aionian	57	NOTICE
Spanish---Free-Bible	UNICODE	Source(-)	Basic Latin : (G)	3509	NOTICE
Spanish---Free-Bible	UNICODE	Source(-)	Basic Latin : ( )	759347	NOTICE
Spanish---Free-Bible	UNICODE	Source(-)	Basic Latin : (1)	30656	NOTICE
Spanish---Free-Bible	UNICODE	Source(-)	Basic Latin : (:)	37442	NOTICE
Spanish---Free-Bible	UNICODE	Source(-)	Basic Latin : (n)	201953	NOTICE
Spanish---Free-Bible	UNICODE	Source(-)	Basic Latin : (e)	418821	NOTICE
Spanish---Free-Bible	UNICODE	Source(-)	Basic Latin : (l)	171652	NOTICE
Spanish---Free-Bible	UNICODE	Source(-)	Basic Latin : (p)	68235	NOTICE
Spanish---Free-Bible	UNICODE	Source(-)	Basic Latin : (r)	212411	NOTICE
Spanish---Free-Bible	UNICODE	Source(-)	Basic Latin : (i)	157591	NOTICE
