# File Name: Holy-Bible---Holy-Bible---Spanish---Gods-Word-for-You---Analysis.txt
# File Size: 655893      
# File Date: 12/13/2025 06:00:11
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Palabra de Dios para Ti
# Bible Name English: Spanish God's Word for You
# Bible Language: Español
# Bible Language English: Spanish
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution 4.0
# Bible Source: Latinamerican Textual Bible Foundation, Inc.
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=spapddpt
# Bible Source Year: 2020
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Spanish---Gods-Word-for-You	ENCODING	Source	Holy-Bible---Spanish---Gods-Word-for-You---Source-Edition.VPL.txt	UTF-8	NOTICE
Spanish---Gods-Word-for-You	ENCODING	Aionian	Holy-Bible---Spanish---Gods-Word-for-You---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Spanish---Gods-Word-for-You	BYTES	Source	bytes / chars	4098457 / 3992940 (multi-byte)	NOTICE
Spanish---Gods-Word-for-You	BYTES	Aionian	bytes / chars	4312088 / 4206363 (multi-byte)	NOTICE
Spanish---Gods-Word-for-You	BYTES	SourceClean	bytes / chars	4097633 / 3992116 (multi-byte)	NOTICE
Spanish---Gods-Word-for-You	BYTES	AionianClean	bytes / chars	4308540 / 4202835 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Spanish---Gods-Word-for-You	AIONIAN	Aionian	book-not-exist	0	NOTICE
Spanish---Gods-Word-for-You	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Spanish---Gods-Word-for-You	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Spanish---Gods-Word-for-You	AIONIAN	Aionian	missing-chapter	0	NOTICE
Spanish---Gods-Word-for-You	AIONIAN	Aionian	missing-verse	0	NOTICE
Spanish---Gods-Word-for-You	AIONIAN	Aionian	aionian-verses	264	NOTICE
Spanish---Gods-Word-for-You	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Spanish---Gods-Word-for-You	UNPRINTABLE	Source	count	0	NOTICE
Spanish---Gods-Word-for-You	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Spanish---Gods-Word-for-You	UNICODE	Summary	(-)Orginal	53	NOTICE
Spanish---Gods-Word-for-You	UNICODE	Summary	(+)Aionian	57	NOTICE
Spanish---Gods-Word-for-You	UNICODE	Source(-)	Basic Latin : (G)	3451	NOTICE
Spanish---Gods-Word-for-You	UNICODE	Source(-)	Basic Latin : (E)	23876	NOTICE
Spanish---Gods-Word-for-You	UNICODE	Source(-)	Basic Latin : ( )	700985	NOTICE
Spanish---Gods-Word-for-You	UNICODE	Source(-)	Basic Latin : (1)	31278	NOTICE
Spanish---Gods-Word-for-You	UNICODE	Source(-)	Basic Latin : (:)	39755	NOTICE
Spanish---Gods-Word-for-You	UNICODE	Source(-)	Basic Latin : (n)	179460	NOTICE
Spanish---Gods-Word-for-You	UNICODE	Source(-)	Basic Latin : (u)	121150	NOTICE
Spanish---Gods-Word-for-You	UNICODE	Source(-)	Basic Latin : (r)	190919	NOTICE
