# File Name: Holy-Bible---Holy-Bible---Spanish---Reina-Valera-NT-1858---Analysis.txt
# File Size: 30039       
# File Date: 12/13/2025 06:00:39
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Español Santa Biblia
# Bible Name English: Spanish Reina Valera NT 1858
# Bible Language: Español
# Bible Language English: Spanish
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Casiodoro de Reina, revised by Cipriano de Valera
# Bible Source Version: 2/7/2021
# Bible Source Link: https://unbound.biola.edu
# Bible Source Year: 1602, 1858
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Spanish---Reina-Valera-NT-1858	ENCODING	Source	Holy-Bible---Spanish---Reina-Valera-NT-1858---Source-Edition.UNBOUND.txt	UTF-8	NOTICE
Spanish---Reina-Valera-NT-1858	ENCODING	Aionian	Holy-Bible---Spanish---Reina-Valera-NT-1858---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Spanish---Reina-Valera-NT-1858	BYTES	Source	bytes / chars	1073923 / 1050931 (multi-byte)	NOTICE
Spanish---Reina-Valera-NT-1858	BYTES	Aionian	bytes / chars	1063097 / 1039956 (multi-byte)	NOTICE
Spanish---Reina-Valera-NT-1858	BYTES	SourceClean	bytes / chars	1072865 / 1049873 (multi-byte)	NOTICE
Spanish---Reina-Valera-NT-1858	BYTES	AionianClean	bytes / chars	1060904 / 1037767 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Spanish---Reina-Valera-NT-1858	AIONIAN	Aionian	book-not-exist	0	NOTICE
Spanish---Reina-Valera-NT-1858	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Spanish---Reina-Valera-NT-1858	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Spanish---Reina-Valera-NT-1858	AIONIAN	Aionian	missing-chapter	0	NOTICE
Spanish---Reina-Valera-NT-1858	AIONIAN	Aionian	missing-verse	0	NOTICE
Spanish---Reina-Valera-NT-1858	AIONIAN	Aionian	aionian-verses	200	NOTICE
Spanish---Reina-Valera-NT-1858	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Spanish---Reina-Valera-NT-1858	UNPRINTABLE	Source	count	0	NOTICE
Spanish---Reina-Valera-NT-1858	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Spanish---Reina-Valera-NT-1858	UNICODE	Summary	(-)Orginal	71	NOTICE
Spanish---Reina-Valera-NT-1858	UNICODE	Summary	(+)Aionian	71	NOTICE
Spanish---Reina-Valera-NT-1858	UNICODE	Source(-)	Basic Latin : (4)	12947	NOTICE
Spanish---Reina-Valera-NT-1858	UNICODE	Source(-)	Basic Latin : (0)	12719	NOTICE
Spanish---Reina-Valera-NT-1858	UNICODE	Source(-)	Basic Latin : (N)	8601	NOTICE
Spanish---Reina-Valera-NT-1858	UNICODE	Source(-)	Basic Latin : (\t)	39785	NOTICE
Spanish---Reina-Valera-NT-1858	UNICODE	Source(-)	Basic Latin : (1)	11429	NOTICE
Spanish---Reina-Valera-NT-1858	UNICODE	Source(-)	Basic Latin : (L)	376	NOTICE
