# File Name: Holy-Bible---Holy-Bible---Swahili---Swahili-Bible---Analysis.txt
# File Size: 21481       
# File Date: 12/13/2025 06:01:33
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Biblia Takatifu
# Bible Name English: Swahili Bible
# Bible Language: Kiswahili
# Bible Language English: Swahili
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Dr. Johann Ludvig Krapf
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=swh1850
# Bible Source Year: 1850
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Swahili---Swahili-Bible	ENCODING	Source	Holy-Bible---Swahili---Swahili-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Swahili---Swahili-Bible	ENCODING	Aionian	Holy-Bible---Swahili---Swahili-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Swahili---Swahili-Bible	BYTES	Source	bytes / chars	1020106 / 1012068 (multi-byte)	NOTICE
Swahili---Swahili-Bible	BYTES	Aionian	bytes / chars	1077984 / 1069759 (multi-byte)	NOTICE
Swahili---Swahili-Bible	BYTES	SourceClean	bytes / chars	1019311 / 1011273 (multi-byte)	NOTICE
Swahili---Swahili-Bible	BYTES	AionianClean	bytes / chars	1075875 / 1067650 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Swahili---Swahili-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Swahili---Swahili-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Swahili---Swahili-Bible	AIONIAN	Aionian	book-defined-not-exist	65	NOTICE
Swahili---Swahili-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Swahili---Swahili-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Swahili---Swahili-Bible	AIONIAN	Aionian	aionian-verses	199	NOTICE
Swahili---Swahili-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Swahili---Swahili-Bible	UNPRINTABLE	Source	count	0	NOTICE
Swahili---Swahili-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Swahili---Swahili-Bible	UNICODE	Summary	(-)Orginal	44	NOTICE
Swahili---Swahili-Bible	UNICODE	Summary	(+)Aionian	49	NOTICE
Swahili---Swahili-Bible	UNICODE	Source(-)	Basic Latin : (M)	7321	NOTICE
Swahili---Swahili-Bible	UNICODE	Source(-)	Basic Latin : (A)	4048	NOTICE
Swahili---Swahili-Bible	UNICODE	Source(-)	Basic Latin : (T)	3002	NOTICE
Swahili---Swahili-Bible	UNICODE	Source(-)	Basic Latin : ( )	146881	NOTICE
Swahili---Swahili-Bible	UNICODE	Source(-)	Basic Latin : (1)	7976	NOTICE
Swahili---Swahili-Bible	UNICODE	Source(-)	Basic Latin : (:)	8803	NOTICE
Swahili---Swahili-Bible	UNICODE	Source(-)	Basic Latin : (e)	41253	NOTICE
Swahili---Swahili-Bible	UNICODE	Source(-)	Basic Latin : (s)	18175	NOTICE
Swahili---Swahili-Bible	UNICODE	Source(-)	Basic Latin : (u)	55653	NOTICE
