# File Name: Holy-Bible---Holy-Bible---Swedish---Swedish-Bible-1703---Analysis.txt
# File Size: 226146      
# File Date: 12/13/2025 06:01:55
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Svensk Bibel 1703
# Bible Name English: Swedish Bible 1703
# Bible Language: Svensk
# Bible Language English: Swedish
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: King Charles XII
# Bible Source Version: 7/20/2015
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=SweKarlXII
# Bible Source Year: 1541, 1703
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Swedish---Swedish-Bible-1703	ENCODING	Source	Holy-Bible---Swedish---Swedish-Bible-1703---Source-Edition.SWORD.txt	UTF-8	NOTICE
Swedish---Swedish-Bible-1703	ENCODING	Aionian	Holy-Bible---Swedish---Swedish-Bible-1703---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Swedish---Swedish-Bible-1703	BYTES	Source	bytes / chars	3177228 / 3076472 (multi-byte)	NOTICE
Swedish---Swedish-Bible-1703	BYTES	Aionian	bytes / chars	3231491 / 3130562 (multi-byte)	NOTICE
Swedish---Swedish-Bible-1703	BYTES	SourceClean	bytes / chars	3176192 / 3075436 (multi-byte)	NOTICE
Swedish---Swedish-Bible-1703	BYTES	AionianClean	bytes / chars	3228591 / 3127666 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Swedish---Swedish-Bible-1703	AIONIAN	Aionian	missing-chapter	019-PSA-006-001	ERROR
Swedish---Swedish-Bible-1703	AIONIAN	Aionian	missing-chapter	019-PSA-009-001	ERROR
Swedish---Swedish-Bible-1703	AIONIAN	Aionian	missing-chapter	019-PSA-016-001	ERROR
Swedish---Swedish-Bible-1703	AIONIAN	Aionian	missing-chapter	019-PSA-018-001	ERROR
Swedish---Swedish-Bible-1703	AIONIAN	Aionian	missing-chapter	019-PSA-030-001	ERROR
Swedish---Swedish-Bible-1703	AIONIAN	Aionian	missing-chapter	019-PSA-049-001	ERROR
Swedish---Swedish-Bible-1703	AIONIAN	Aionian	missing-chapter	019-PSA-049-001	ERROR
Swedish---Swedish-Bible-1703	AIONIAN	Aionian	missing-chapter	019-PSA-055-001	ERROR
Swedish---Swedish-Bible-1703	AIONIAN	Aionian	missing-chapter	019-PSA-086-001	ERROR
Swedish---Swedish-Bible-1703	AIONIAN	Aionian	missing-chapter	019-PSA-088-001	ERROR
Swedish---Swedish-Bible-1703	AIONIAN	Aionian	missing-chapter	019-PSA-089-001	ERROR
Swedish---Swedish-Bible-1703	AIONIAN	Aionian	missing-chapter	019-PSA-116-001	ERROR
Swedish---Swedish-Bible-1703	AIONIAN	Aionian	missing-chapter	019-PSA-139-001	ERROR
Swedish---Swedish-Bible-1703	AIONIAN	Aionian	missing-chapter	019-PSA-141-001	ERROR
Swedish---Swedish-Bible-1703	AIONIAN	Aionian	missing-verse	045-ROM-016-026	NOTICE
Swedish---Swedish-Bible-1703	AIONIAN	Aionian	missing-verse	055-2TI-004-018	NOTICE
Swedish---Swedish-Bible-1703	AIONIAN	Aionian	book-not-exist	0	NOTICE
