# File Name: Holy-Bible---Holy-Bible---Tagakaulo---Tagakaulo-Bible---Analysis.txt
# File Size: 24793       
# File Date: 12/13/2025 06:02:21
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Tagakaulo Bible
# Bible Name English: Kalagan Bible
# Bible Language: Tagakaulo
# Bible Language English: Kalagan
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Wycliffe Bible Translators
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=klg
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Tagakaulo---Tagakaulo-Bible	ENCODING	Source	Holy-Bible---Tagakaulo---Tagakaulo-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Tagakaulo---Tagakaulo-Bible	ENCODING	Aionian	Holy-Bible---Tagakaulo---Tagakaulo-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Tagakaulo---Tagakaulo-Bible	BYTES	Source	bytes / chars	1554662 / 1538653 (multi-byte)	NOTICE
Tagakaulo---Tagakaulo-Bible	BYTES	Aionian	bytes / chars	1613056 / 1596852 (multi-byte)	NOTICE
Tagakaulo---Tagakaulo-Bible	BYTES	SourceClean	bytes / chars	1553837 / 1537828 (multi-byte)	NOTICE
Tagakaulo---Tagakaulo-Bible	BYTES	AionianClean	bytes / chars	1610879 / 1594682 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Tagakaulo---Tagakaulo-Bible	AIONIAN	Aionian	missing-verse	040-MAT-005-030	NOTICE
Tagakaulo---Tagakaulo-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Tagakaulo---Tagakaulo-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Tagakaulo---Tagakaulo-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Tagakaulo---Tagakaulo-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Tagakaulo---Tagakaulo-Bible	AIONIAN	Aionian	missing-verse	1	NOTICE
Tagakaulo---Tagakaulo-Bible	AIONIAN	Aionian	aionian-verses	199	NOTICE
Tagakaulo---Tagakaulo-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Tagakaulo---Tagakaulo-Bible	UNPRINTABLE	Source	count	0	NOTICE
Tagakaulo---Tagakaulo-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Tagakaulo---Tagakaulo-Bible	UNICODE	Summary	(-)Orginal	49	NOTICE
Tagakaulo---Tagakaulo-Bible	UNICODE	Summary	(+)Aionian	53	NOTICE
Tagakaulo---Tagakaulo-Bible	UNICODE	Source(-)	Basic Latin : (M)	5285	NOTICE
Tagakaulo---Tagakaulo-Bible	UNICODE	Source(-)	Basic Latin : (A)	9208	NOTICE
Tagakaulo---Tagakaulo-Bible	UNICODE	Source(-)	Basic Latin : (T)	6365	NOTICE
Tagakaulo---Tagakaulo-Bible	UNICODE	Source(-)	Basic Latin : ( )	256787	NOTICE
