# File Name: Holy-Bible---Holy-Bible---Tagalog---Tagalog-Bible-Unlocked---Analysis.txt
# File Size: 191206      
# File Date: 12/13/2025 06:02:36
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: banal na Bibliya
# Bible Name English: Tagalog Unlocked Holy Bible
# Bible Language: Tagalog
# Bible Language English: Tagalog
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Door43 World Missions Community
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=tglulb
# Bible Source Year: 2018
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Tagalog---Tagalog-Bible-Unlocked	ENCODING	Source	Holy-Bible---Tagalog---Tagalog-Bible-Unlocked---Source-Edition.VPL.txt	UTF-8	NOTICE
Tagalog---Tagalog-Bible-Unlocked	ENCODING	Aionian	Holy-Bible---Tagalog---Tagalog-Bible-Unlocked---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Tagalog---Tagalog-Bible-Unlocked	BYTES	Source	bytes / chars	5241920 / 5216147 (multi-byte)	NOTICE
Tagalog---Tagalog-Bible-Unlocked	BYTES	Aionian	bytes / chars	5456775 / 5430873 (multi-byte)	NOTICE
Tagalog---Tagalog-Bible-Unlocked	BYTES	SourceClean	bytes / chars	5241079 / 5215306 (multi-byte)	NOTICE
Tagalog---Tagalog-Bible-Unlocked	BYTES	AionianClean	bytes / chars	5453228 / 5427326 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Tagalog---Tagalog-Bible-Unlocked	AIONIAN	Aionian	book-not-exist	0	NOTICE
Tagalog---Tagalog-Bible-Unlocked	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Tagalog---Tagalog-Bible-Unlocked	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Tagalog---Tagalog-Bible-Unlocked	AIONIAN	Aionian	missing-chapter	0	NOTICE
Tagalog---Tagalog-Bible-Unlocked	AIONIAN	Aionian	missing-verse	0	NOTICE
Tagalog---Tagalog-Bible-Unlocked	AIONIAN	Aionian	aionian-verses	264	NOTICE
Tagalog---Tagalog-Bible-Unlocked	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Tagalog---Tagalog-Bible-Unlocked	UNPRINTABLE	Source	JER 46:3 Ihanda ninyo ang mga maliliit at mga malalaking kalasag, at sumugod sa labanan.	()	WARN
Tagalog---Tagalog-Bible-Unlocked	UNPRINTABLE	Source	JER 46:4 Isingkaw ninyo ang mga kabayong lalaki at sakyan ninyo ang mga ito, kayong mga mangangabayo. Humanay kayo, kasama ang inyong mga helmet na nasa inyong mga ulo. Hasain ninyo ang mga sibat at isuot ang inyong mga baluti.	()	WARN
Tagalog---Tagalog-Bible-Unlocked	UNPRINTABLE	Source	JER 46:5 Ano ang aking nakikita rito? Napuno sila ng matinding takot at tumatakbo palayo, sapagkat natalo ang kanilang mga kawal. Tumatakbo sila upang makaligtas at hindi lumilingon. Ang matinding takot ay nasa lahat ng dako—ito ang pahayag ni Yahweh—	()	WARN
