# File Name: Holy-Bible---Holy-Bible---Tamil---Open-Contemporary---Analysis.txt
# File Size: 252781      
# File Date: 12/13/2025 06:02:54
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: திறந்தநிலை தமிழ் சமகால
# Bible Name English: Tamil Open Contemporary Bible
# Bible Language: தமிழ்
# Bible Language English: Tamil
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0, International
# Bible Source: Biblica, Inc.
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=tamtcv
# Bible Source Year: 2005, 2020, 2022
# Bible Description: Original work available for free at www.biblica.com and open.bible
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Tamil---Open-Contemporary	ENCODING	Source	Holy-Bible---Tamil---Open-Contemporary---Source-Edition.VPL.txt	UTF-8	NOTICE
Tamil---Open-Contemporary	ENCODING	Aionian	Holy-Bible---Tamil---Open-Contemporary---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Tamil---Open-Contemporary	BYTES	Source	bytes / chars	13610430 / 5124692 (multi-byte)	NOTICE
Tamil---Open-Contemporary	BYTES	Aionian	bytes / chars	13823820 / 5338188 (multi-byte)	NOTICE
Tamil---Open-Contemporary	BYTES	SourceClean	bytes / chars	13609588 / 5123850 (multi-byte)	NOTICE
Tamil---Open-Contemporary	BYTES	AionianClean	bytes / chars	13819029 / 5334505 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Tamil---Open-Contemporary	AIONIAN	Aionian	book-not-exist	0	NOTICE
Tamil---Open-Contemporary	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Tamil---Open-Contemporary	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Tamil---Open-Contemporary	AIONIAN	Aionian	missing-chapter	0	NOTICE
Tamil---Open-Contemporary	AIONIAN	Aionian	missing-verse	0	NOTICE
Tamil---Open-Contemporary	AIONIAN	Aionian	aionian-verses	264	NOTICE
Tamil---Open-Contemporary	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Tamil---Open-Contemporary	UNPRINTABLE	Source	count	0	NOTICE
Tamil---Open-Contemporary	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Tamil---Open-Contemporary	UNICODE	Summary	(-)Orginal	29	NOTICE
Tamil---Open-Contemporary	UNICODE	Summary	(+)Aionian	52	NOTICE
Tamil---Open-Contemporary	UNICODE	Source(-)	Basic Latin : (G)	2338	NOTICE
Tamil---Open-Contemporary	UNICODE	Source(-)	Basic Latin : ( )	511810	NOTICE
Tamil---Open-Contemporary	UNICODE	Source(-)	Basic Latin : (1)	30584	NOTICE
Tamil---Open-Contemporary	UNICODE	Source(-)	Basic Latin : (:)	33183	NOTICE
Tamil---Open-Contemporary	UNICODE	Source(-)	Basic Latin : (.)	48450	NOTICE
Tamil---Open-Contemporary	UNICODE	Source(-)	Basic Latin : (\n)	31102	NOTICE
Tamil---Open-Contemporary	UNICODE	Source(-)	Basic Latin : (2)	21873	NOTICE
Tamil---Open-Contemporary	UNICODE	Source(-)	Basic Latin : (3)	12381	NOTICE
