# File Name: Holy-Bible---Holy-Bible---Tamil---Tamil-Bible---Analysis.txt
# File Size: 370179      
# File Date: 12/13/2025 06:03:15
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: தமிழ் பைபிள்
# Bible Name English: Tamil Bible
# Bible Language: தமிழ்
# Bible Language English: Tamil
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Bridge Connectivity Solutions
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=tam2017
# Bible Source Year: 2017, 2019
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Tamil---Tamil-Bible	ENCODING	Source	Holy-Bible---Tamil---Tamil-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Tamil---Tamil-Bible	ENCODING	Aionian	Holy-Bible---Tamil---Tamil-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Tamil---Tamil-Bible	BYTES	Source	bytes / chars	12804866 / 4818634 (multi-byte)	NOTICE
Tamil---Tamil-Bible	BYTES	Aionian	bytes / chars	13020176 / 5032667 (multi-byte)	NOTICE
Tamil---Tamil-Bible	BYTES	SourceClean	bytes / chars	12804049 / 4817817 (multi-byte)	NOTICE
Tamil---Tamil-Bible	BYTES	AionianClean	bytes / chars	13015529 / 5029110 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Tamil---Tamil-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Tamil---Tamil-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Tamil---Tamil-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Tamil---Tamil-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Tamil---Tamil-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Tamil---Tamil-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Tamil---Tamil-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Tamil---Tamil-Bible	UNPRINTABLE	Source	count	0	NOTICE
Tamil---Tamil-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Tamil---Tamil-Bible	UNICODE	Summary	(-)Orginal	28	NOTICE
Tamil---Tamil-Bible	UNICODE	Summary	(+)Aionian	52	NOTICE
Tamil---Tamil-Bible	UNICODE	Source(-)	Basic Latin : (G)	2338	NOTICE
Tamil---Tamil-Bible	UNICODE	Source(-)	Basic Latin : ( )	464293	NOTICE
Tamil---Tamil-Bible	UNICODE	Source(-)	Basic Latin : (1)	30644	NOTICE
Tamil---Tamil-Bible	UNICODE	Source(-)	Basic Latin : (:)	36817	NOTICE
Tamil---Tamil-Bible	UNICODE	Source(-)	Basic Latin : (.)	27285	NOTICE
Tamil---Tamil-Bible	UNICODE	Source(-)	Basic Latin : (\n)	31103	NOTICE
Tamil---Tamil-Bible	UNICODE	Source(-)	Basic Latin : (2)	21864	NOTICE
Tamil---Tamil-Bible	UNICODE	Source(-)	Basic Latin : (3)	12414	NOTICE
Tamil---Tamil-Bible	UNICODE	Source(-)	Basic Latin : (,)	46698	NOTICE
