# File Name: Holy-Bible---Holy-Bible---Tavoyan---Tavoyan-Bible---Analysis.txt
# File Size: 93066       
# File Date: 12/13/2025 06:03:35
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ဓမ္မသစ်ကျမ်း ထားဝယ်ဘာသာစကား
# Bible Name English: Tavoyan Bible
# Bible Language: ထားဝယ်စကား
# Bible Language English: Tavoyan
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=tvn
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Tavoyan---Tavoyan-Bible	ENCODING	Source	Holy-Bible---Tavoyan---Tavoyan-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Tavoyan---Tavoyan-Bible	ENCODING	Aionian	Holy-Bible---Tavoyan---Tavoyan-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Tavoyan---Tavoyan-Bible	BYTES	Source	bytes / chars	3558988 / 1298676 (multi-byte)	NOTICE
Tavoyan---Tavoyan-Bible	BYTES	Aionian	bytes / chars	3617003 / 1356591 (multi-byte)	NOTICE
Tavoyan---Tavoyan-Bible	BYTES	SourceClean	bytes / chars	3558171 / 1297859 (multi-byte)	NOTICE
Tavoyan---Tavoyan-Bible	BYTES	AionianClean	bytes / chars	3614370 / 1354402 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Tavoyan---Tavoyan-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Tavoyan---Tavoyan-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Tavoyan---Tavoyan-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Tavoyan---Tavoyan-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Tavoyan---Tavoyan-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Tavoyan---Tavoyan-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Tavoyan---Tavoyan-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Tavoyan---Tavoyan-Bible	UNPRINTABLE	Source	count	0	NOTICE
Tavoyan---Tavoyan-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Tavoyan---Tavoyan-Bible	UNICODE	Summary	(-)Orginal	72	NOTICE
Tavoyan---Tavoyan-Bible	UNICODE	Summary	(+)Aionian	95	NOTICE
Tavoyan---Tavoyan-Bible	UNICODE	Source(-)	Basic Latin : (M)	2317	NOTICE
Tavoyan---Tavoyan-Bible	UNICODE	Source(-)	Basic Latin : (A)	3013	NOTICE
Tavoyan---Tavoyan-Bible	UNICODE	Source(-)	Basic Latin : (T)	2500	NOTICE
Tavoyan---Tavoyan-Bible	UNICODE	Source(-)	Basic Latin : ( )	101617	NOTICE
Tavoyan---Tavoyan-Bible	UNICODE	Source(-)	Basic Latin : (1)	8053	NOTICE
Tavoyan---Tavoyan-Bible	UNICODE	Source(-)	Basic Latin : (:)	7958	NOTICE
