# File Name: Holy-Bible---Holy-Bible---Teke-Tyee---Teke-Tyee-Bible---Analysis.txt
# File Size: 79138       
# File Date: 12/13/2025 06:03:39
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Teke Sud-Ouest
# Bible Name English: Teke-Tyee Bible
# Bible Language: Teke-Tyee
# Bible Language English: Teke-Tyee
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Wycliffe Bible Translators
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=tyx
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Teke-Tyee---Teke-Tyee-Bible	ENCODING	Source	Holy-Bible---Teke-Tyee---Teke-Tyee-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Teke-Tyee---Teke-Tyee-Bible	ENCODING	Aionian	Holy-Bible---Teke-Tyee---Teke-Tyee-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Teke-Tyee---Teke-Tyee-Bible	BYTES	Source	bytes / chars	1175787 / 1150336 (multi-byte)	NOTICE
Teke-Tyee---Teke-Tyee-Bible	BYTES	Aionian	bytes / chars	1232947 / 1207304 (multi-byte)	NOTICE
Teke-Tyee---Teke-Tyee-Bible	BYTES	SourceClean	bytes / chars	1174962 / 1149511 (multi-byte)	NOTICE
Teke-Tyee---Teke-Tyee-Bible	BYTES	AionianClean	bytes / chars	1230782 / 1205144 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Teke-Tyee---Teke-Tyee-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Teke-Tyee---Teke-Tyee-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Teke-Tyee---Teke-Tyee-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Teke-Tyee---Teke-Tyee-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Teke-Tyee---Teke-Tyee-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Teke-Tyee---Teke-Tyee-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Teke-Tyee---Teke-Tyee-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Teke-Tyee---Teke-Tyee-Bible	UNPRINTABLE	Source	count	0	NOTICE
Teke-Tyee---Teke-Tyee-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Teke-Tyee---Teke-Tyee-Bible	UNICODE	Summary	(-)Orginal	49	NOTICE
Teke-Tyee---Teke-Tyee-Bible	UNICODE	Summary	(+)Aionian	54	NOTICE
Teke-Tyee---Teke-Tyee-Bible	UNICODE	Source(-)	Basic Latin : (M)	8189	NOTICE
Teke-Tyee---Teke-Tyee-Bible	UNICODE	Source(-)	Basic Latin : (A)	3476	NOTICE
Teke-Tyee---Teke-Tyee-Bible	UNICODE	Source(-)	Basic Latin : (T)	2983	NOTICE
Teke-Tyee---Teke-Tyee-Bible	UNICODE	Source(-)	Basic Latin : ( )	212567	NOTICE
