# File Name: Holy-Bible---Holy-Bible---Telugu---Telugu-Open-Contemporary---Analysis.txt
# File Size: 315601      
# File Date: 12/13/2025 06:04:04
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ఉచిత తెలుగు సమకాలీన అనువాదం
# Bible Name English: Telugu Open Contemporary Bible
# Bible Language: తెలుగు
# Bible Language English: Telugu
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Biblica, Inc.
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=telotsa
# Bible Source Year: 1976, 1990, 2022, 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Telugu---Telugu-Open-Contemporary	ENCODING	Source	Holy-Bible---Telugu---Telugu-Open-Contemporary---Source-Edition.VPL.txt	UTF-8	NOTICE
Telugu---Telugu-Open-Contemporary	ENCODING	Aionian	Holy-Bible---Telugu---Telugu-Open-Contemporary---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Telugu---Telugu-Open-Contemporary	BYTES	Source	bytes / chars	10376967 / 4036735 (multi-byte)	NOTICE
Telugu---Telugu-Open-Contemporary	BYTES	Aionian	bytes / chars	10589349 / 4249210 (multi-byte)	NOTICE
Telugu---Telugu-Open-Contemporary	BYTES	SourceClean	bytes / chars	10376122 / 4035890 (multi-byte)	NOTICE
Telugu---Telugu-Open-Contemporary	BYTES	AionianClean	bytes / chars	10584282 / 4245489 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Telugu---Telugu-Open-Contemporary	AIONIAN	Aionian	missing-verse	042-LUK-001-055	NOTICE
Telugu---Telugu-Open-Contemporary	AIONIAN	Aionian	missing-verse	042-LUK-001-070	NOTICE
Telugu---Telugu-Open-Contemporary	AIONIAN	Aionian	missing-verse	042-LUK-018-030	NOTICE
Telugu---Telugu-Open-Contemporary	AIONIAN	Aionian	missing-verse	043-JOH-003-015	NOTICE
Telugu---Telugu-Open-Contemporary	AIONIAN	Aionian	missing-verse	045-ROM-016-026	NOTICE
Telugu---Telugu-Open-Contemporary	AIONIAN	Aionian	missing-verse	045-ROM-016-027	NOTICE
Telugu---Telugu-Open-Contemporary	AIONIAN	Aionian	missing-verse	049-EPH-001-021	NOTICE
Telugu---Telugu-Open-Contemporary	AIONIAN	Aionian	book-not-exist	0	NOTICE
Telugu---Telugu-Open-Contemporary	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Telugu---Telugu-Open-Contemporary	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Telugu---Telugu-Open-Contemporary	AIONIAN	Aionian	missing-chapter	0	NOTICE
Telugu---Telugu-Open-Contemporary	AIONIAN	Aionian	missing-verse	7	NOTICE
Telugu---Telugu-Open-Contemporary	AIONIAN	Aionian	aionian-verses	257	NOTICE
Telugu---Telugu-Open-Contemporary	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Telugu---Telugu-Open-Contemporary	UNPRINTABLE	Source	count	0	NOTICE
Telugu---Telugu-Open-Contemporary	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
