# File Name: Holy-Bible---Holy-Bible---Tharu-Rana---Rana-Tharu-Bible---Analysis.txt
# File Size: 22158       
# File Date: 12/13/2025 06:04:18
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: परमेस्वर को सच्चो वचन
# Bible Name English: Rana Tharu Bible
# Bible Language: राना थारू
# Bible Language English: Tharu, Rana
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World South Asia
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=thr
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Tharu-Rana---Rana-Tharu-Bible	ENCODING	Source	Holy-Bible---Tharu-Rana---Rana-Tharu-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Tharu-Rana---Rana-Tharu-Bible	ENCODING	Aionian	Holy-Bible---Tharu-Rana---Rana-Tharu-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Tharu-Rana---Rana-Tharu-Bible	BYTES	Source	bytes / chars	2406574 / 992378 (multi-byte)	NOTICE
Tharu-Rana---Rana-Tharu-Bible	BYTES	Aionian	bytes / chars	2465801 / 1050933 (multi-byte)	NOTICE
Tharu-Rana---Rana-Tharu-Bible	BYTES	SourceClean	bytes / chars	2405745 / 991549 (multi-byte)	NOTICE
Tharu-Rana---Rana-Tharu-Bible	BYTES	AionianClean	bytes / chars	2463084 / 1048700 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Tharu-Rana---Rana-Tharu-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Tharu-Rana---Rana-Tharu-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Tharu-Rana---Rana-Tharu-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Tharu-Rana---Rana-Tharu-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Tharu-Rana---Rana-Tharu-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Tharu-Rana---Rana-Tharu-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Tharu-Rana---Rana-Tharu-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Tharu-Rana---Rana-Tharu-Bible	UNPRINTABLE	Source	count	0	NOTICE
Tharu-Rana---Rana-Tharu-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Tharu-Rana---Rana-Tharu-Bible	UNICODE	Summary	(-)Orginal	29	NOTICE
Tharu-Rana---Rana-Tharu-Bible	UNICODE	Summary	(+)Aionian	53	NOTICE
Tharu-Rana---Rana-Tharu-Bible	UNICODE	Source(-)	Basic Latin : (M)	2315	NOTICE
Tharu-Rana---Rana-Tharu-Bible	UNICODE	Source(-)	Basic Latin : (A)	3013	NOTICE
Tharu-Rana---Rana-Tharu-Bible	UNICODE	Source(-)	Basic Latin : (T)	2502	NOTICE
Tharu-Rana---Rana-Tharu-Bible	UNICODE	Source(-)	Basic Latin : ( )	201613	NOTICE
