# File Name: Holy-Bible---Holy-Bible---Thur---Leb-Thur-Bible---Analysis.txt
# File Size: 51423       
# File Date: 12/13/2025 06:04:21
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Leb-Thur
# Bible Name English: Thur Bible
# Bible Language: Thur
# Bible Language English: Thur
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Wycliffe Bible Translators and SIL Uganda
# Bible Source Version: 7/10/2025
# Bible Source Link: https://ebible.org/details.php?id=lth
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Thur---Leb-Thur-Bible	ENCODING	Source	Holy-Bible---Thur---Leb-Thur-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Thur---Leb-Thur-Bible	ENCODING	Aionian	Holy-Bible---Thur---Leb-Thur-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Thur---Leb-Thur-Bible	BYTES	Source	bytes / chars	1387149 / 1209708 (multi-byte)	NOTICE
Thur---Leb-Thur-Bible	BYTES	Aionian	bytes / chars	1453538 / 1275968 (multi-byte)	NOTICE
Thur---Leb-Thur-Bible	BYTES	SourceClean	bytes / chars	1386336 / 1208895 (multi-byte)	NOTICE
Thur---Leb-Thur-Bible	BYTES	AionianClean	bytes / chars	1451571 / 1274005 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Thur---Leb-Thur-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Thur---Leb-Thur-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Thur---Leb-Thur-Bible	AIONIAN	Aionian	book-defined-not-exist	126	NOTICE
Thur---Leb-Thur-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Thur---Leb-Thur-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Thur---Leb-Thur-Bible	AIONIAN	Aionian	aionian-verses	138	NOTICE
Thur---Leb-Thur-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Thur---Leb-Thur-Bible	UNPRINTABLE	Source	count	0	NOTICE
Thur---Leb-Thur-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Thur---Leb-Thur-Bible	UNICODE	Summary	(-)Orginal	42	NOTICE
Thur---Leb-Thur-Bible	UNICODE	Summary	(+)Aionian	47	NOTICE
Thur---Leb-Thur-Bible	UNICODE	Source(-)	Basic Latin : (G)	2550	NOTICE
Thur---Leb-Thur-Bible	UNICODE	Source(-)	Basic Latin : ( )	237073	NOTICE
Thur---Leb-Thur-Bible	UNICODE	Source(-)	Basic Latin : (1)	8741	NOTICE
Thur---Leb-Thur-Bible	UNICODE	Source(-)	Basic Latin : (:)	9744	NOTICE
Thur---Leb-Thur-Bible	UNICODE	Source(-)	Basic Latin : (a)	82227	NOTICE
Thur---Leb-Thur-Bible	UNICODE	Source(-)	Basic Latin : (c)	23028	NOTICE
Thur---Leb-Thur-Bible	UNICODE	Source(-)	Basic Latin : (k)	57679	NOTICE
Thur---Leb-Thur-Bible	UNICODE	Source(-)	Basic Latin : (i)	29835	NOTICE
