# File Name: Holy-Bible---Holy-Bible---Tichurong---Tichurong-Bible---Analysis.txt
# File Size: 15310       
# File Date: 12/13/2025 06:04:24
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: तिचुरोङ क्येला सारबा करारयि किताबतेबा
# Bible Name English: Tichurong Bible
# Bible Language: Tichurong
# Bible Language English: Tichurong
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World South Asia
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=tcn
# Bible Source Year: 2025
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Tichurong---Tichurong-Bible	ENCODING	Source	Holy-Bible---Tichurong---Tichurong-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Tichurong---Tichurong-Bible	ENCODING	Aionian	Holy-Bible---Tichurong---Tichurong-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Tichurong---Tichurong-Bible	BYTES	Source	bytes / chars	609163 / 241497 (multi-byte)	NOTICE
Tichurong---Tichurong-Bible	BYTES	Aionian	bytes / chars	623032 / 255235 (multi-byte)	NOTICE
Tichurong---Tichurong-Bible	BYTES	SourceClean	bytes / chars	608338 / 240672 (multi-byte)	NOTICE
Tichurong---Tichurong-Bible	BYTES	AionianClean	bytes / chars	621595 / 253894 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Tichurong---Tichurong-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Tichurong---Tichurong-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Tichurong---Tichurong-Bible	AIONIAN	Aionian	book-defined-not-exist	231	NOTICE
Tichurong---Tichurong-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Tichurong---Tichurong-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Tichurong---Tichurong-Bible	AIONIAN	Aionian	aionian-verses	33	NOTICE
Tichurong---Tichurong-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Tichurong---Tichurong-Bible	UNPRINTABLE	Source	count	0	NOTICE
Tichurong---Tichurong-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Tichurong---Tichurong-Bible	UNICODE	Summary	(-)Orginal	15	NOTICE
Tichurong---Tichurong-Bible	UNICODE	Summary	(+)Aionian	24	NOTICE
Tichurong---Tichurong-Bible	UNICODE	Source(-)	Basic Latin : (H)	879	NOTICE
Tichurong---Tichurong-Bible	UNICODE	Source(-)	Basic Latin : ( )	37941	NOTICE
Tichurong---Tichurong-Bible	UNICODE	Source(-)	Basic Latin : (1)	1679	NOTICE
Tichurong---Tichurong-Bible	UNICODE	Source(-)	Basic Latin : (:)	2116	NOTICE
Tichurong---Tichurong-Bible	UNICODE	Source(-)	Basic Latin : (,)	2578	NOTICE
Tichurong---Tichurong-Bible	UNICODE	Source(-)	Basic Latin : (\n)	1886	NOTICE
Tichurong---Tichurong-Bible	UNICODE	Source(-)	Basic Latin : (3)	684	NOTICE
Tichurong---Tichurong-Bible	UNICODE	Source(-)	Basic Latin : (4)	515	NOTICE
