# File Name: Holy-Bible---Holy-Bible---Tongan---Revised-West-Version---Analysis.txt
# File Size: 45917       
# File Date: 12/13/2025 06:04:27
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Tongan Bible, Revised West
# Bible Name English: Tongan Bible, Revised West
# Bible Language: Tongan
# Bible Language English: Tongan
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: James Baxley
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=ton
# Bible Source Year: 2014
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Tongan---Revised-West-Version	ENCODING	Source	Holy-Bible---Tongan---Revised-West-Version---Source-Edition.VPL.txt	UTF-8	NOTICE
Tongan---Revised-West-Version	ENCODING	Aionian	Holy-Bible---Tongan---Revised-West-Version---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Tongan---Revised-West-Version	BYTES	Source	bytes / chars	5577196 / 5154316 (multi-byte)	NOTICE
Tongan---Revised-West-Version	BYTES	Aionian	bytes / chars	5783822 / 5363278 (multi-byte)	NOTICE
Tongan---Revised-West-Version	BYTES	SourceClean	bytes / chars	5576397 / 5153517 (multi-byte)	NOTICE
Tongan---Revised-West-Version	BYTES	AionianClean	bytes / chars	5780325 / 5359805 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Tongan---Revised-West-Version	AIONIAN	Aionian	book-not-exist	0	NOTICE
Tongan---Revised-West-Version	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Tongan---Revised-West-Version	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Tongan---Revised-West-Version	AIONIAN	Aionian	missing-chapter	0	NOTICE
Tongan---Revised-West-Version	AIONIAN	Aionian	missing-verse	0	NOTICE
Tongan---Revised-West-Version	AIONIAN	Aionian	aionian-verses	264	NOTICE
Tongan---Revised-West-Version	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Tongan---Revised-West-Version	UNPRINTABLE	Source	count	0	NOTICE
Tongan---Revised-West-Version	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Tongan---Revised-West-Version	UNICODE	Summary	(-)Orginal	43	NOTICE
Tongan---Revised-West-Version	UNICODE	Summary	(+)Aionian	50	NOTICE
Tongan---Revised-West-Version	UNICODE	Source(-)	Basic Latin : (G)	2341	NOTICE
Tongan---Revised-West-Version	UNICODE	Source(-)	Basic Latin : ( )	1006414	NOTICE
Tongan---Revised-West-Version	UNICODE	Source(-)	Basic Latin : (1)	30443	NOTICE
Tongan---Revised-West-Version	UNICODE	Source(-)	Basic Latin : (:)	43231	NOTICE
Tongan---Revised-West-Version	UNICODE	Source(-)	Basic Latin : (a)	658123	NOTICE
Tongan---Revised-West-Version	UNICODE	Source(-)	Basic Latin : (e)	392187	NOTICE
Tongan---Revised-West-Version	UNICODE	Source(-)	Basic Latin : (k)	262058	NOTICE
Tongan---Revised-West-Version	UNICODE	Source(-)	Basic Latin : (t)	162793	NOTICE
Tongan---Revised-West-Version	UNICODE	Source(-)	Basic Latin : (u)	238894	NOTICE
