# File Name: Holy-Bible---Holy-Bible---Tsikimba---Tsikimba-Bible---Analysis.txt
# File Size: 91992       
# File Date: 12/13/2025 06:04:39
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Tsikimba Bible
# Bible Name English: Kimba Bible
# Bible Language: Tsikimba
# Bible Language English: Kimba
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Seed Company
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=kdl
# Bible Source Year: 2025
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Tsikimba---Tsikimba-Bible	ENCODING	Source	Holy-Bible---Tsikimba---Tsikimba-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Tsikimba---Tsikimba-Bible	ENCODING	Aionian	Holy-Bible---Tsikimba---Tsikimba-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Tsikimba---Tsikimba-Bible	BYTES	Source	bytes / chars	208089 / 198203 (multi-byte)	NOTICE
Tsikimba---Tsikimba-Bible	BYTES	Aionian	bytes / chars	216921 / 206191 (multi-byte)	NOTICE
Tsikimba---Tsikimba-Bible	BYTES	SourceClean	bytes / chars	200549 / 191022 (multi-byte)	NOTICE
Tsikimba---Tsikimba-Bible	BYTES	AionianClean	bytes / chars	215536 / 204808 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Tsikimba---Tsikimba-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Tsikimba---Tsikimba-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Tsikimba---Tsikimba-Bible	AIONIAN	Aionian	book-defined-not-exist	263	NOTICE
Tsikimba---Tsikimba-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Tsikimba---Tsikimba-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Tsikimba---Tsikimba-Bible	AIONIAN	Aionian	aionian-verses	1	NOTICE
Tsikimba---Tsikimba-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Tsikimba---Tsikimba-Bible	UNPRINTABLE	Source	count	0	NOTICE
Tsikimba---Tsikimba-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Tsikimba---Tsikimba-Bible	UNICODE	Summary	(-)Orginal	66	NOTICE
Tsikimba---Tsikimba-Bible	UNICODE	Summary	(+)Aionian	69	NOTICE
Tsikimba---Tsikimba-Bible	UNICODE	Source(-)	Basic Latin : (E)	881	NOTICE
Tsikimba---Tsikimba-Bible	UNICODE	Source(-)	Basic Latin : (V)	921	NOTICE
Tsikimba---Tsikimba-Bible	UNICODE	Source(-)	Basic Latin : ( )	40241	NOTICE
Tsikimba---Tsikimba-Bible	UNICODE	Source(-)	Basic Latin : (1)	1008	NOTICE
Tsikimba---Tsikimba-Bible	UNICODE	Source(-)	Basic Latin : (:)	1208	NOTICE
Tsikimba---Tsikimba-Bible	UNICODE	Source(-)	Basic Latin : (M)	798	NOTICE
Tsikimba---Tsikimba-Bible	UNICODE	Source(-)	Basic Latin : (a)	33266	NOTICE
