# File Name: Holy-Bible---Holy-Bible---Twi---Asante-Twi-WASNA---Analysis.txt
# File Size: 90706       
# File Date: 12/13/2025 06:05:05
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Asante Twi Nkwa Asɛm
# Bible Name English: Asante Twi Bible
# Bible Language: Asante Twi
# Bible Language English: Twi
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0, International
# Bible Source: Biblica, Inc.
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=twiasante
# Bible Source Year: 1996, 2020
# Bible Description: Original work available for free at www.biblica.com and open.bible
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Twi---Asante-Twi-WASNA	ENCODING	Source	Holy-Bible---Twi---Asante-Twi-WASNA---Source-Edition.VPL.txt	UTF-8	NOTICE
Twi---Asante-Twi-WASNA	ENCODING	Aionian	Holy-Bible---Twi---Asante-Twi-WASNA---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Twi---Asante-Twi-WASNA	BYTES	Source	bytes / chars	4225478 / 3864415 (multi-byte)	NOTICE
Twi---Asante-Twi-WASNA	BYTES	Aionian	bytes / chars	4435309 / 4075654 (multi-byte)	NOTICE
Twi---Asante-Twi-WASNA	BYTES	SourceClean	bytes / chars	4224636 / 3863573 (multi-byte)	NOTICE
Twi---Asante-Twi-WASNA	BYTES	AionianClean	bytes / chars	4431711 / 4072082 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Twi---Asante-Twi-WASNA	AIONIAN	Aionian	book-not-exist	0	NOTICE
Twi---Asante-Twi-WASNA	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Twi---Asante-Twi-WASNA	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Twi---Asante-Twi-WASNA	AIONIAN	Aionian	missing-chapter	0	NOTICE
Twi---Asante-Twi-WASNA	AIONIAN	Aionian	missing-verse	0	NOTICE
Twi---Asante-Twi-WASNA	AIONIAN	Aionian	aionian-verses	264	NOTICE
Twi---Asante-Twi-WASNA	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Twi---Asante-Twi-WASNA	UNPRINTABLE	Source	count	0	NOTICE
Twi---Asante-Twi-WASNA	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Twi---Asante-Twi-WASNA	UNICODE	Summary	(-)Orginal	53	NOTICE
Twi---Asante-Twi-WASNA	UNICODE	Summary	(+)Aionian	55	NOTICE
Twi---Asante-Twi-WASNA	UNICODE	Source(-)	Basic Latin : (G)	3537	NOTICE
Twi---Asante-Twi-WASNA	UNICODE	Source(-)	Basic Latin : (E)	14657	NOTICE
Twi---Asante-Twi-WASNA	UNICODE	Source(-)	Basic Latin : ( )	723981	NOTICE
Twi---Asante-Twi-WASNA	UNICODE	Source(-)	Basic Latin : (1)	30606	NOTICE
Twi---Asante-Twi-WASNA	UNICODE	Source(-)	Basic Latin : (:)	32496	NOTICE
Twi---Asante-Twi-WASNA	UNICODE	Source(-)	Basic Latin : (A)	28747	NOTICE
