# File Name: Holy-Bible---Holy-Bible---Ukrainian---Ukrainian-NT---Analysis.txt
# File Size: 38012       
# File Date: 12/13/2025 06:05:31
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Український Новий Заповіт
# Bible Name English: Ukrainian Kulish New Testament
# Bible Language: Український
# Bible Language English: Ukrainian
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Panteleimon Kulish
# Bible Source Version: 7/21/2015
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=UkrKulish
# Bible Source Year: 1871
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Ukrainian---Ukrainian-NT	ENCODING	Source	Holy-Bible---Ukrainian---Ukrainian-NT---Source-Edition.SWORD.txt	UTF-8	NOTICE
Ukrainian---Ukrainian-NT	ENCODING	Aionian	Holy-Bible---Ukrainian---Ukrainian-NT---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Ukrainian---Ukrainian-NT	BYTES	Source	bytes / chars	1524553 / 942225 (multi-byte)	NOTICE
Ukrainian---Ukrainian-NT	BYTES	Aionian	bytes / chars	1463886 / 881125 (multi-byte)	NOTICE
Ukrainian---Ukrainian-NT	BYTES	SourceClean	bytes / chars	1440146 / 857818 (multi-byte)	NOTICE
Ukrainian---Ukrainian-NT	BYTES	AionianClean	bytes / chars	1461439 / 878909 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Ukrainian---Ukrainian-NT	AIONIAN	Aionian	book-not-exist	0	NOTICE
Ukrainian---Ukrainian-NT	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Ukrainian---Ukrainian-NT	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Ukrainian---Ukrainian-NT	AIONIAN	Aionian	missing-chapter	0	NOTICE
Ukrainian---Ukrainian-NT	AIONIAN	Aionian	missing-verse	0	NOTICE
Ukrainian---Ukrainian-NT	AIONIAN	Aionian	aionian-verses	200	NOTICE
Ukrainian---Ukrainian-NT	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Ukrainian---Ukrainian-NT	UNPRINTABLE	Source	count	0	NOTICE
Ukrainian---Ukrainian-NT	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Ukrainian---Ukrainian-NT	UNICODE	Summary	(-)Orginal	57	NOTICE
Ukrainian---Ukrainian-NT	UNICODE	Summary	(+)Aionian	65	NOTICE
Ukrainian---Ukrainian-NT	UNICODE	Source(-)	Basic Latin : ([)	10	NOTICE
Ukrainian---Ukrainian-NT	UNICODE	Source(-)	Basic Latin : ( )	143537	NOTICE
Ukrainian---Ukrainian-NT	UNICODE	Source(-)	Basic Latin : (T)	405	NOTICE
Ukrainian---Ukrainian-NT	UNICODE	Source(-)	Basic Latin : (e)	4594	NOTICE
Ukrainian---Ukrainian-NT	UNICODE	Source(-)	Basic Latin : (s)	4018	NOTICE
Ukrainian---Ukrainian-NT	UNICODE	Source(-)	Basic Latin : (t)	4979	NOTICE
Ukrainian---Ukrainian-NT	UNICODE	Source(-)	Basic Latin : (a)	4642	NOTICE
