# File Name: Holy-Bible---Holy-Bible---Urdu---Urdu-Bible---Analysis.txt
# File Size: 25842       
# File Date: 12/13/2025 06:05:50
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: उर्दू बाइबिल, देवनागरी
# Bible Name English: Urdu Bible, Devanagari
# Bible Language: उर्दू
# Bible Language English: Urdu
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Bridge Connectivity Solutions
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=urd
# Bible Source Year: 2017
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Urdu---Urdu-Bible	ENCODING	Source	Holy-Bible---Urdu---Urdu-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Urdu---Urdu-Bible	ENCODING	Aionian	Holy-Bible---Urdu---Urdu-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Urdu---Urdu-Bible	BYTES	Source	bytes / chars	9799873 / 4032335 (multi-byte)	NOTICE
Urdu---Urdu-Bible	BYTES	Aionian	bytes / chars	10014872 / 4246378 (multi-byte)	NOTICE
Urdu---Urdu-Bible	BYTES	SourceClean	bytes / chars	9799068 / 4031530 (multi-byte)	NOTICE
Urdu---Urdu-Bible	BYTES	AionianClean	bytes / chars	10010703 / 4242981 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Urdu---Urdu-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Urdu---Urdu-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Urdu---Urdu-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Urdu---Urdu-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Urdu---Urdu-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Urdu---Urdu-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Urdu---Urdu-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Urdu---Urdu-Bible	UNPRINTABLE	Source	count	0	NOTICE
Urdu---Urdu-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Urdu---Urdu-Bible	UNICODE	Summary	(-)Orginal	33	NOTICE
Urdu---Urdu-Bible	UNICODE	Summary	(+)Aionian	56	NOTICE
Urdu---Urdu-Bible	UNICODE	Source(-)	Basic Latin : (G)	2338	NOTICE
Urdu---Urdu-Bible	UNICODE	Source(-)	Basic Latin : (E)	10915	NOTICE
Urdu---Urdu-Bible	UNICODE	Source(-)	Basic Latin : ( )	825421	NOTICE
Urdu---Urdu-Bible	UNICODE	Source(-)	Basic Latin : (1)	30449	NOTICE
Urdu---Urdu-Bible	UNICODE	Source(-)	Basic Latin : (:)	32246	NOTICE
Urdu---Urdu-Bible	UNICODE	Source(-)	Devanagari : (।)	29338	NOTICE
Urdu---Urdu-Bible	UNICODE	Source(-)	Basic Latin : (\n)	31104	NOTICE
Urdu---Urdu-Bible	UNICODE	Source(-)	Basic Latin : (2)	21666	NOTICE
Urdu---Urdu-Bible	UNICODE	Source(-)	Basic Latin : (3)	12265	NOTICE
