# File Name: Holy-Bible---Holy-Bible---Uyghur---Uyghur-Bible-Latin---Analysis.txt
# File Size: 96260       
# File Date: 12/13/2025 06:06:53
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Muqeddes Kalam (latin yéziq)
# Bible Name English: Uyghur Bible (latin script)
# Bible Language: Uyghur tili
# Bible Language English: Uyghur
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Mukeddes Kalam - Uyghur Bible Translation Committee
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=uiglat
# Bible Source Year: 2010
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Uyghur---Uyghur-Bible-Latin	ENCODING	Source	Holy-Bible---Uyghur---Uyghur-Bible-Latin---Source-Edition.VPL.txt	UTF-8	NOTICE
Uyghur---Uyghur-Bible-Latin	ENCODING	Aionian	Holy-Bible---Uyghur---Uyghur-Bible-Latin---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Uyghur---Uyghur-Bible-Latin	BYTES	Source	bytes / chars	4999467 / 4814557 (multi-byte)	NOTICE
Uyghur---Uyghur-Bible-Latin	BYTES	Aionian	bytes / chars	5211036 / 5026202 (multi-byte)	NOTICE
Uyghur---Uyghur-Bible-Latin	BYTES	SourceClean	bytes / chars	4998636 / 4813726 (multi-byte)	NOTICE
Uyghur---Uyghur-Bible-Latin	BYTES	AionianClean	bytes / chars	5207294 / 5022471 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Uyghur---Uyghur-Bible-Latin	AIONIAN	Aionian	book-not-exist	0	NOTICE
Uyghur---Uyghur-Bible-Latin	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Uyghur---Uyghur-Bible-Latin	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Uyghur---Uyghur-Bible-Latin	AIONIAN	Aionian	missing-chapter	0	NOTICE
Uyghur---Uyghur-Bible-Latin	AIONIAN	Aionian	missing-verse	0	NOTICE
Uyghur---Uyghur-Bible-Latin	AIONIAN	Aionian	aionian-verses	264	NOTICE
Uyghur---Uyghur-Bible-Latin	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Uyghur---Uyghur-Bible-Latin	UNPRINTABLE	Source	count	0	NOTICE
Uyghur---Uyghur-Bible-Latin	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Uyghur---Uyghur-Bible-Latin	UNICODE	Summary	(-)Orginal	79	NOTICE
Uyghur---Uyghur-Bible-Latin	UNICODE	Summary	(+)Aionian	58	NOTICE
Uyghur---Uyghur-Bible-Latin	UNICODE	Source(-)	Basic Latin : (G)	3670	NOTICE
Uyghur---Uyghur-Bible-Latin	UNICODE	Source(-)	Basic Latin : ( )	598219	NOTICE
Uyghur---Uyghur-Bible-Latin	UNICODE	Source(-)	Basic Latin : (1)	30190	NOTICE
Uyghur---Uyghur-Bible-Latin	UNICODE	Source(-)	Basic Latin : (:)	38558	NOTICE
Uyghur---Uyghur-Bible-Latin	UNICODE	Source(-)	Basic Latin : (M)	14961	NOTICE
