# File Name: Holy-Bible---Holy-Bible---Vaagri-Booli---Vaagri-Booli-Bible---Analysis.txt
# File Size: 25128       
# File Date: 12/13/2025 06:07:12
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ದೇವ್ನಿ ಖ್ಹಾಚಿ ವಚನ್
# Bible Name English: Vaagri Booli Bible
# Bible Language: Hakkipikki
# Bible Language English: Vaagri Booli
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=vaa
# Bible Source Year: 2023
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Vaagri-Booli---Vaagri-Booli-Bible	ENCODING	Source	Holy-Bible---Vaagri-Booli---Vaagri-Booli-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Vaagri-Booli---Vaagri-Booli-Bible	ENCODING	Aionian	Holy-Bible---Vaagri-Booli---Vaagri-Booli-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Vaagri-Booli---Vaagri-Booli-Bible	BYTES	Source	bytes / chars	2839996 / 1102794 (multi-byte)	NOTICE
Vaagri-Booli---Vaagri-Booli-Bible	BYTES	Aionian	bytes / chars	2899005 / 1161319 (multi-byte)	NOTICE
Vaagri-Booli---Vaagri-Booli-Bible	BYTES	SourceClean	bytes / chars	2839159 / 1101957 (multi-byte)	NOTICE
Vaagri-Booli---Vaagri-Booli-Bible	BYTES	AionianClean	bytes / chars	2896552 / 1159162 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Vaagri-Booli---Vaagri-Booli-Bible	AIONIAN	Aionian	missing-verse	041-MAR-004-019	NOTICE
Vaagri-Booli---Vaagri-Booli-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Vaagri-Booli---Vaagri-Booli-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Vaagri-Booli---Vaagri-Booli-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Vaagri-Booli---Vaagri-Booli-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Vaagri-Booli---Vaagri-Booli-Bible	AIONIAN	Aionian	missing-verse	1	NOTICE
Vaagri-Booli---Vaagri-Booli-Bible	AIONIAN	Aionian	aionian-verses	199	NOTICE
Vaagri-Booli---Vaagri-Booli-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Vaagri-Booli---Vaagri-Booli-Bible	UNPRINTABLE	Source	count	0	NOTICE
Vaagri-Booli---Vaagri-Booli-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Vaagri-Booli---Vaagri-Booli-Bible	UNICODE	Summary	(-)Orginal	30	NOTICE
Vaagri-Booli---Vaagri-Booli-Bible	UNICODE	Summary	(+)Aionian	53	NOTICE
Vaagri-Booli---Vaagri-Booli-Bible	UNICODE	Source(-)	Basic Latin : (M)	2303	NOTICE
Vaagri-Booli---Vaagri-Booli-Bible	UNICODE	Source(-)	Basic Latin : (A)	3000	NOTICE
