# File Name: Holy-Bible---Holy-Bible---Vidunda---Vidunda-Bible---Analysis.txt
# File Size: 42952       
# File Date: 12/13/2025 06:07:20
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Chividunda Bible
# Bible Name English: Vidunda Bible
# Bible Language: Chividunda
# Bible Language English: Vidunda
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Pioneer Bible Translators
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=vid
# Bible Source Year: 2014
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Vidunda---Vidunda-Bible	ENCODING	Source	Holy-Bible---Vidunda---Vidunda-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Vidunda---Vidunda-Bible	ENCODING	Aionian	Holy-Bible---Vidunda---Vidunda-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Vidunda---Vidunda-Bible	BYTES	Source	bytes / chars	3332919 / 3308577 (multi-byte)	NOTICE
Vidunda---Vidunda-Bible	BYTES	Aionian	bytes / chars	3488083 / 3463553 (multi-byte)	NOTICE
Vidunda---Vidunda-Bible	BYTES	SourceClean	bytes / chars	3332102 / 3307760 (multi-byte)	NOTICE
Vidunda---Vidunda-Bible	BYTES	AionianClean	bytes / chars	3485053 / 3460523 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Vidunda---Vidunda-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Vidunda---Vidunda-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Vidunda---Vidunda-Bible	AIONIAN	Aionian	book-defined-not-exist	25	NOTICE
Vidunda---Vidunda-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Vidunda---Vidunda-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Vidunda---Vidunda-Bible	AIONIAN	Aionian	aionian-verses	239	NOTICE
Vidunda---Vidunda-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Vidunda---Vidunda-Bible	UNPRINTABLE	Source	count	0	NOTICE
Vidunda---Vidunda-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Vidunda---Vidunda-Bible	UNICODE	Summary	(-)Orginal	49	NOTICE
Vidunda---Vidunda-Bible	UNICODE	Summary	(+)Aionian	54	NOTICE
Vidunda---Vidunda-Bible	UNICODE	Source(-)	Basic Latin : (G)	3484	NOTICE
Vidunda---Vidunda-Bible	UNICODE	Source(-)	Basic Latin : (E)	7234	NOTICE
Vidunda---Vidunda-Bible	UNICODE	Source(-)	Basic Latin : ( )	475909	NOTICE
Vidunda---Vidunda-Bible	UNICODE	Source(-)	Basic Latin : (1)	22917	NOTICE
Vidunda---Vidunda-Bible	UNICODE	Source(-)	Basic Latin : (:)	22631	NOTICE
Vidunda---Vidunda-Bible	UNICODE	Source(-)	Basic Latin : (A)	11837	NOTICE
Vidunda---Vidunda-Bible	UNICODE	Source(-)	Basic Latin : (h)	131880	NOTICE
Vidunda---Vidunda-Bible	UNICODE	Source(-)	Basic Latin : (o)	127576	NOTICE
