# File Name: Holy-Bible---Holy-Bible---Vietnamese---Contemporary---Analysis.txt
# File Size: 385198      
# File Date: 12/13/2025 06:07:28
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Kinh Thánh Tiếng Việt Hiện Đại
# Bible Name English: Vietnamese Contemporary Bible
# Bible Language: tiếng Việt
# Bible Language English: Vietnamese
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0, International
# Bible Source: Biblica, Inc.
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=vieovcb
# Bible Source Year: 1982, 1987, 1994, 2005, 2015
# Bible Description: Original work available for free at www.biblica.com and open.bible
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Vietnamese---Contemporary	ENCODING	Source	Holy-Bible---Vietnamese---Contemporary---Source-Edition.VPL.txt	UTF-8	NOTICE
Vietnamese---Contemporary	ENCODING	Aionian	Holy-Bible---Vietnamese---Contemporary---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Vietnamese---Contemporary	BYTES	Source	bytes / chars	5070105 / 3908369 (multi-byte)	NOTICE
Vietnamese---Contemporary	BYTES	Aionian	bytes / chars	5284525 / 4122497 (multi-byte)	NOTICE
Vietnamese---Contemporary	BYTES	SourceClean	bytes / chars	5069261 / 3907525 (multi-byte)	NOTICE
Vietnamese---Contemporary	BYTES	AionianClean	bytes / chars	5280689 / 4118791 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Vietnamese---Contemporary	AIONIAN	Aionian	book-not-exist	0	NOTICE
Vietnamese---Contemporary	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Vietnamese---Contemporary	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Vietnamese---Contemporary	AIONIAN	Aionian	missing-chapter	0	NOTICE
Vietnamese---Contemporary	AIONIAN	Aionian	missing-verse	0	NOTICE
Vietnamese---Contemporary	AIONIAN	Aionian	aionian-verses	264	NOTICE
Vietnamese---Contemporary	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Vietnamese---Contemporary	UNPRINTABLE	Source	count	0	NOTICE
Vietnamese---Contemporary	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Vietnamese---Contemporary	UNICODE	Summary	(-)Orginal	52	NOTICE
Vietnamese---Contemporary	UNICODE	Summary	(+)Aionian	55	NOTICE
Vietnamese---Contemporary	UNICODE	Source(-)	Basic Latin : (G)	10849	NOTICE
Vietnamese---Contemporary	UNICODE	Source(-)	Basic Latin : (E)	11010	NOTICE
Vietnamese---Contemporary	UNICODE	Source(-)	Basic Latin : ( )	810033	NOTICE
Vietnamese---Contemporary	UNICODE	Source(-)	Basic Latin : (1)	30857	NOTICE
Vietnamese---Contemporary	UNICODE	Source(-)	Basic Latin : (:)	38487	NOTICE
Vietnamese---Contemporary	UNICODE	Source(-)	Basic Latin : (a)	119986	NOTICE
Vietnamese---Contemporary	UNICODE	Source(-)	Basic Latin : (n)	293386	NOTICE
Vietnamese---Contemporary	UNICODE	Source(-)	Basic Latin : (u)	65367	NOTICE
