# File Name: Holy-Bible---Holy-Bible---Vietnamese---Vietnamese-Bible---Analysis.txt
# File Size: 85048       
# File Date: 12/13/2025 06:07:39
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Kinh Thánh Tiếng Việt
# Bible Name English: Vietnamese Bible
# Bible Language: tiếng Việt
# Bible Language English: Vietnamese
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Cadman with the CMA and Bible Society in Vietnam
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=vie1934
# Bible Source Year: 1923
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Vietnamese---Vietnamese-Bible	ENCODING	Source	Holy-Bible---Vietnamese---Vietnamese-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Vietnamese---Vietnamese-Bible	ENCODING	Aionian	Holy-Bible---Vietnamese---Vietnamese-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Vietnamese---Vietnamese-Bible	BYTES	Source	bytes / chars	5410438 / 4176601 (multi-byte)	NOTICE
Vietnamese---Vietnamese-Bible	BYTES	Aionian	bytes / chars	5622728 / 4388578 (multi-byte)	NOTICE
Vietnamese---Vietnamese-Bible	BYTES	SourceClean	bytes / chars	5409631 / 4175794 (multi-byte)	NOTICE
Vietnamese---Vietnamese-Bible	BYTES	AionianClean	bytes / chars	5619048 / 4385023 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Vietnamese---Vietnamese-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Vietnamese---Vietnamese-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Vietnamese---Vietnamese-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Vietnamese---Vietnamese-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Vietnamese---Vietnamese-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Vietnamese---Vietnamese-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Vietnamese---Vietnamese-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Vietnamese---Vietnamese-Bible	UNPRINTABLE	Source	count	0	NOTICE
Vietnamese---Vietnamese-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Vietnamese---Vietnamese-Bible	UNICODE	Summary	(-)Orginal	47	NOTICE
Vietnamese---Vietnamese-Bible	UNICODE	Summary	(+)Aionian	50	NOTICE
Vietnamese---Vietnamese-Bible	UNICODE	Source(-)	Basic Latin : (G)	15959	NOTICE
Vietnamese---Vietnamese-Bible	UNICODE	Source(-)	Basic Latin : ( )	870255	NOTICE
Vietnamese---Vietnamese-Bible	UNICODE	Source(-)	Basic Latin : (1)	30638	NOTICE
Vietnamese---Vietnamese-Bible	UNICODE	Source(-)	Basic Latin : (:)	39851	NOTICE
Vietnamese---Vietnamese-Bible	UNICODE	Source(-)	Basic Latin : (a)	123220	NOTICE
Vietnamese---Vietnamese-Bible	UNICODE	Source(-)	Basic Latin : (n)	312038	NOTICE
Vietnamese---Vietnamese-Bible	UNICODE	Source(-)	Basic Latin : (u)	52827	NOTICE
