# File Name: Holy-Bible---Holy-Bible---Vietnamese---Vietnamese-Bible-1934---Analysis.txt
# File Size: 91135       
# File Date: 12/13/2025 06:07:49
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Kinh Thánh Tiếng Việt 1934
# Bible Name English: Vietnamese Bible 1934
# Bible Language: tiếng Việt
# Bible Language English: Vietnamese
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Cadman with the CMA and Bible Society in Vietnam, from Mr. Phien Nguyen
# Bible Source Version: 8/21/2013
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=Viet
# Bible Source Year: 1934
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Vietnamese---Vietnamese-Bible-1934	ENCODING	Source	Holy-Bible---Vietnamese---Vietnamese-Bible-1934---Source-Edition.SWORD.txt	UTF-8	NOTICE
Vietnamese---Vietnamese-Bible-1934	ENCODING	Aionian	Holy-Bible---Vietnamese---Vietnamese-Bible-1934---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Vietnamese---Vietnamese-Bible-1934	BYTES	Source	bytes / chars	5532476 / 4299845 (multi-byte)	NOTICE
Vietnamese---Vietnamese-Bible-1934	BYTES	Aionian	bytes / chars	5610201 / 4377277 (multi-byte)	NOTICE
Vietnamese---Vietnamese-Bible-1934	BYTES	SourceClean	bytes / chars	5531617 / 4298986 (multi-byte)	NOTICE
Vietnamese---Vietnamese-Bible-1934	BYTES	AionianClean	bytes / chars	5606465 / 4373666 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Vietnamese---Vietnamese-Bible-1934	AIONIAN	Aionian	book-not-exist	0	NOTICE
Vietnamese---Vietnamese-Bible-1934	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Vietnamese---Vietnamese-Bible-1934	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Vietnamese---Vietnamese-Bible-1934	AIONIAN	Aionian	missing-chapter	0	NOTICE
Vietnamese---Vietnamese-Bible-1934	AIONIAN	Aionian	missing-verse	0	NOTICE
Vietnamese---Vietnamese-Bible-1934	AIONIAN	Aionian	aionian-verses	264	NOTICE
Vietnamese---Vietnamese-Bible-1934	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Vietnamese---Vietnamese-Bible-1934	UNPRINTABLE	Source	Genesis 17:18 Áp-ra-ham thưa cùng Ðức Chúa Tr»»i rằng: Chớ chi Ích-ma-ên vẫn được sống trước mặt Ngài!	()	WARN
Vietnamese---Vietnamese-Bible-1934	UNPRINTABLE	Source	II Kings 5:7 Khi vua Y-sơ-ra-ên đ»c thơ rồi, liền xé quần áo mình, và nói rằng: Ông ấy sai người đến cùng ta để ta chữa khỏi bịnh phung cho họ, ta há phải là Ðức Chúa Trời, có quyền làm sống làm chết sao? Khá nên biết và xem thấy rằng người tìm dịp để nghịch cùng ta.	()	WARN
