# File Name: Holy-Bible---Holy-Bible---Waddar---Waddar-Bible---Analysis.txt
# File Size: 19488       
# File Date: 12/13/2025 06:08:00
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: वडार
# Bible Name English: Waddar Bible
# Bible Language: Vadari
# Bible Language English: Waddar
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Bridge Connectivity Solutions Pvt. Ltd.
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=wbq
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Waddar---Waddar-Bible	ENCODING	Source	Holy-Bible---Waddar---Waddar-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Waddar---Waddar-Bible	ENCODING	Aionian	Holy-Bible---Waddar---Waddar-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Waddar---Waddar-Bible	BYTES	Source	bytes / chars	1238002 / 491846 (multi-byte)	NOTICE
Waddar---Waddar-Bible	BYTES	Aionian	bytes / chars	1265436 / 519127 (multi-byte)	NOTICE
Waddar---Waddar-Bible	BYTES	SourceClean	bytes / chars	1237189 / 491033 (multi-byte)	NOTICE
Waddar---Waddar-Bible	BYTES	AionianClean	bytes / chars	1263762 / 517555 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Waddar---Waddar-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Waddar---Waddar-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Waddar---Waddar-Bible	AIONIAN	Aionian	book-defined-not-exist	211	NOTICE
Waddar---Waddar-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Waddar---Waddar-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Waddar---Waddar-Bible	AIONIAN	Aionian	aionian-verses	53	NOTICE
Waddar---Waddar-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Waddar---Waddar-Bible	UNPRINTABLE	Source	count	0	NOTICE
Waddar---Waddar-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Waddar---Waddar-Bible	UNICODE	Summary	(-)Orginal	23	NOTICE
Waddar---Waddar-Bible	UNICODE	Summary	(+)Aionian	45	NOTICE
Waddar---Waddar-Bible	UNICODE	Source(-)	Basic Latin : (M)	673	NOTICE
Waddar---Waddar-Bible	UNICODE	Source(-)	Basic Latin : (A)	1827	NOTICE
Waddar---Waddar-Bible	UNICODE	Source(-)	Basic Latin : ( )	77046	NOTICE
Waddar---Waddar-Bible	UNICODE	Source(-)	Basic Latin : (1)	3929	NOTICE
Waddar---Waddar-Bible	UNICODE	Source(-)	Basic Latin : (:)	3886	NOTICE
Waddar---Waddar-Bible	UNICODE	Source(-)	Basic Latin : (.)	3962	NOTICE
Waddar---Waddar-Bible	UNICODE	Source(-)	Basic Latin : (\n)	3793	NOTICE
Waddar---Waddar-Bible	UNICODE	Source(-)	Basic Latin : (2)	2428	NOTICE
Waddar---Waddar-Bible	UNICODE	Source(-)	Basic Latin : (,)	4441	NOTICE
