# File Name: Holy-Bible---Holy-Bible---Wolio---Kitabi-Momangkilona-Bible---Analysis.txt
# File Size: 115820      
# File Date: 12/13/2025 06:08:03
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Kitabi Momangkilona Wolio
# Bible Name English: Buton Wolio Bible
# Bible Language: Buton
# Bible Language English: Wolio
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Wycliffe Bible Translators
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=wlo
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Wolio---Kitabi-Momangkilona-Bible	ENCODING	Source	Holy-Bible---Wolio---Kitabi-Momangkilona-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Wolio---Kitabi-Momangkilona-Bible	ENCODING	Aionian	Holy-Bible---Wolio---Kitabi-Momangkilona-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Wolio---Kitabi-Momangkilona-Bible	BYTES	Source	bytes / chars	2027967 / 2022452 (multi-byte)	NOTICE
Wolio---Kitabi-Momangkilona-Bible	BYTES	Aionian	bytes / chars	2113229 / 2107570 (multi-byte)	NOTICE
Wolio---Kitabi-Momangkilona-Bible	BYTES	SourceClean	bytes / chars	2027130 / 2021615 (multi-byte)	NOTICE
Wolio---Kitabi-Momangkilona-Bible	BYTES	AionianClean	bytes / chars	2111006 / 2105347 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Wolio---Kitabi-Momangkilona-Bible	AIONIAN	Aionian	missing-verse	001-GEN-044-031	NOTICE
Wolio---Kitabi-Momangkilona-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Wolio---Kitabi-Momangkilona-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Wolio---Kitabi-Momangkilona-Bible	AIONIAN	Aionian	book-defined-not-exist	89	NOTICE
Wolio---Kitabi-Momangkilona-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Wolio---Kitabi-Momangkilona-Bible	AIONIAN	Aionian	missing-verse	1	NOTICE
Wolio---Kitabi-Momangkilona-Bible	AIONIAN	Aionian	aionian-verses	174	NOTICE
Wolio---Kitabi-Momangkilona-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Wolio---Kitabi-Momangkilona-Bible	UNPRINTABLE	Source	count	0	NOTICE
Wolio---Kitabi-Momangkilona-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Wolio---Kitabi-Momangkilona-Bible	UNICODE	Summary	(-)Orginal	58	NOTICE
Wolio---Kitabi-Momangkilona-Bible	UNICODE	Summary	(+)Aionian	61	NOTICE
Wolio---Kitabi-Momangkilona-Bible	UNICODE	Source(-)	Basic Latin : (G)	2134	NOTICE
Wolio---Kitabi-Momangkilona-Bible	UNICODE	Source(-)	Basic Latin : (E)	4744	NOTICE
Wolio---Kitabi-Momangkilona-Bible	UNICODE	Source(-)	Basic Latin : (N)	3502	NOTICE
