# File Name: Holy-Bible---Holy-Bible---Yalunka---Yalunka-Bible---Analysis.txt
# File Size: 19435       
# File Date: 12/13/2025 06:08:12
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Kisin Kiraan Kitabuna
# Bible Name English: Yalunka Bible
# Bible Language: Jalonke
# Bible Language English: Yalunka
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Pioneer Bible Translators
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=yal
# Bible Source Year: 2012
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Yalunka---Yalunka-Bible	ENCODING	Source	Holy-Bible---Yalunka---Yalunka-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Yalunka---Yalunka-Bible	ENCODING	Aionian	Holy-Bible---Yalunka---Yalunka-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Yalunka---Yalunka-Bible	BYTES	Source	bytes / chars	4398510 / 4184768 (multi-byte)	NOTICE
Yalunka---Yalunka-Bible	BYTES	Aionian	bytes / chars	4611507 / 4397549 (multi-byte)	NOTICE
Yalunka---Yalunka-Bible	BYTES	SourceClean	bytes / chars	4397693 / 4183951 (multi-byte)	NOTICE
Yalunka---Yalunka-Bible	BYTES	AionianClean	bytes / chars	4607854 / 4393924 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Yalunka---Yalunka-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Yalunka---Yalunka-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Yalunka---Yalunka-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Yalunka---Yalunka-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Yalunka---Yalunka-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Yalunka---Yalunka-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Yalunka---Yalunka-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Yalunka---Yalunka-Bible	UNPRINTABLE	Source	count	0	NOTICE
Yalunka---Yalunka-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Yalunka---Yalunka-Bible	UNICODE	Summary	(-)Orginal	52	NOTICE
Yalunka---Yalunka-Bible	UNICODE	Summary	(+)Aionian	57	NOTICE
Yalunka---Yalunka-Bible	UNICODE	Source(-)	Basic Latin : (G)	3863	NOTICE
Yalunka---Yalunka-Bible	UNICODE	Source(-)	Basic Latin : (E)	17226	NOTICE
Yalunka---Yalunka-Bible	UNICODE	Source(-)	Basic Latin : (N)	17755	NOTICE
Yalunka---Yalunka-Bible	UNICODE	Source(-)	Basic Latin : ( )	820390	NOTICE
Yalunka---Yalunka-Bible	UNICODE	Source(-)	Basic Latin : (1)	30499	NOTICE
Yalunka---Yalunka-Bible	UNICODE	Source(-)	Basic Latin : (:)	32210	NOTICE
Yalunka---Yalunka-Bible	UNICODE	Source(-)	Basic Latin : (A)	34138	NOTICE
Yalunka---Yalunka-Bible	UNICODE	Source(-)	Basic Latin : (l)	101163	NOTICE
