# File Name: Holy-Bible---Holy-Bible---Yamap---Yamap-Bible---Analysis.txt
# File Size: 43256       
# File Date: 12/13/2025 06:08:19
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Yamap Bible
# Bible Name English: Yamap Bible
# Bible Language: Yamap
# Bible Language English: Yamap
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Papua New Guinea Bible Translation Assoc, The Seed Company
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=ymp
# Bible Source Year: 2025
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Yamap---Yamap-Bible	ENCODING	Source	Holy-Bible---Yamap---Yamap-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Yamap---Yamap-Bible	ENCODING	Aionian	Holy-Bible---Yamap---Yamap-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Yamap---Yamap-Bible	BYTES	Source	bytes / chars	495217 / 444152 (multi-byte)	NOTICE
Yamap---Yamap-Bible	BYTES	Aionian	bytes / chars	515262 / 464162 (multi-byte)	NOTICE
Yamap---Yamap-Bible	BYTES	SourceClean	bytes / chars	494408 / 443343 (multi-byte)	NOTICE
Yamap---Yamap-Bible	BYTES	AionianClean	bytes / chars	513920 / 462820 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Yamap---Yamap-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Yamap---Yamap-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Yamap---Yamap-Bible	AIONIAN	Aionian	book-defined-not-exist	220	NOTICE
Yamap---Yamap-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Yamap---Yamap-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Yamap---Yamap-Bible	AIONIAN	Aionian	aionian-verses	44	NOTICE
Yamap---Yamap-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Yamap---Yamap-Bible	UNPRINTABLE	Source	count	0	NOTICE
Yamap---Yamap-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Yamap---Yamap-Bible	UNICODE	Summary	(-)Orginal	38	NOTICE
Yamap---Yamap-Bible	UNICODE	Summary	(+)Aionian	44	NOTICE
Yamap---Yamap-Bible	UNICODE	Source(-)	Basic Latin : (M)	4487	NOTICE
Yamap---Yamap-Bible	UNICODE	Source(-)	Basic Latin : (A)	2477	NOTICE
Yamap---Yamap-Bible	UNICODE	Source(-)	Basic Latin : (T)	1187	NOTICE
Yamap---Yamap-Bible	UNICODE	Source(-)	Basic Latin : ( )	81446	NOTICE
Yamap---Yamap-Bible	UNICODE	Source(-)	Basic Latin : (1)	2433	NOTICE
Yamap---Yamap-Bible	UNICODE	Source(-)	Basic Latin : (:)	2866	NOTICE
Yamap---Yamap-Bible	UNICODE	Source(-)	Basic Latin : (i)	14636	NOTICE
Yamap---Yamap-Bible	UNICODE	Source(-)	Basic Latin : (t)	12210	NOTICE
Yamap---Yamap-Bible	UNICODE	Source(-)	Basic Latin : (m)	22371	NOTICE
