# File Name: Holy-Bible---Holy-Bible---Yemsa---Yemsa-Bible-Latin---Analysis.txt
# File Size: 29117       
# File Date: 12/13/2025 06:08:25
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Gaddo Teyya
# Bible Name English: Yemsa Bible (Latin)
# Bible Language: Yemsa
# Bible Language English: Yemsa
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=jnjl
# Bible Source Year: 2025
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Yemsa---Yemsa-Bible-Latin	ENCODING	Source	Holy-Bible---Yemsa---Yemsa-Bible-Latin---Source-Edition.VPL.txt	UTF-8	NOTICE
Yemsa---Yemsa-Bible-Latin	ENCODING	Aionian	Holy-Bible---Yemsa---Yemsa-Bible-Latin---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Yemsa---Yemsa-Bible-Latin	BYTES	Source	bytes / chars	1066043 / 1059868 (multi-byte)	NOTICE
Yemsa---Yemsa-Bible-Latin	BYTES	Aionian	bytes / chars	1124454 / 1118091 (multi-byte)	NOTICE
Yemsa---Yemsa-Bible-Latin	BYTES	SourceClean	bytes / chars	1065220 / 1059045 (multi-byte)	NOTICE
Yemsa---Yemsa-Bible-Latin	BYTES	AionianClean	bytes / chars	1122232 / 1115869 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Yemsa---Yemsa-Bible-Latin	AIONIAN	Aionian	missing-verse	042-LUK-001-055	NOTICE
Yemsa---Yemsa-Bible-Latin	AIONIAN	Aionian	missing-verse	042-LUK-001-070	NOTICE
Yemsa---Yemsa-Bible-Latin	AIONIAN	Aionian	missing-verse	042-LUK-018-030	NOTICE
Yemsa---Yemsa-Bible-Latin	AIONIAN	Aionian	missing-verse	044-ACT-015-018	NOTICE
Yemsa---Yemsa-Bible-Latin	AIONIAN	Aionian	book-not-exist	0	NOTICE
Yemsa---Yemsa-Bible-Latin	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Yemsa---Yemsa-Bible-Latin	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Yemsa---Yemsa-Bible-Latin	AIONIAN	Aionian	missing-chapter	0	NOTICE
Yemsa---Yemsa-Bible-Latin	AIONIAN	Aionian	missing-verse	4	NOTICE
Yemsa---Yemsa-Bible-Latin	AIONIAN	Aionian	aionian-verses	196	NOTICE
Yemsa---Yemsa-Bible-Latin	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Yemsa---Yemsa-Bible-Latin	UNPRINTABLE	Source	count	0	NOTICE
Yemsa---Yemsa-Bible-Latin	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Yemsa---Yemsa-Bible-Latin	UNICODE	Summary	(-)Orginal	50	NOTICE
Yemsa---Yemsa-Bible-Latin	UNICODE	Summary	(+)Aionian	55	NOTICE
Yemsa---Yemsa-Bible-Latin	UNICODE	Source(-)	Basic Latin : (M)	3057	NOTICE
