# File Name: Holy-Bible---Holy-Bible---Yoruba---Yoruba-Bible---Analysis.txt
# File Size: 202351      
# File Date: 12/13/2025 06:08:36
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Bíbélì Mímọ́ ní Èdè Yorùbá Òde-Òní
# Bible Name English: Yoruba Bible
# Bible Language: Yorùbá
# Bible Language English: Yoruba
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0, International
# Bible Source: Biblica, Inc.
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=yor
# Bible Source Year: 2009, 2017
# Bible Description: Original work available for free at www.biblica.com and open.bible
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Yoruba---Yoruba-Bible	ENCODING	Source	Holy-Bible---Yoruba---Yoruba-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Yoruba---Yoruba-Bible	ENCODING	Aionian	Holy-Bible---Yoruba---Yoruba-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Yoruba---Yoruba-Bible	BYTES	Source	bytes / chars	5619197 / 4088910 (multi-byte)	NOTICE
Yoruba---Yoruba-Bible	BYTES	Aionian	bytes / chars	5825031 / 4296391 (multi-byte)	NOTICE
Yoruba---Yoruba-Bible	BYTES	SourceClean	bytes / chars	5618369 / 4088082 (multi-byte)	NOTICE
Yoruba---Yoruba-Bible	BYTES	AionianClean	bytes / chars	5821413 / 4292790 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Yoruba---Yoruba-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Yoruba---Yoruba-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Yoruba---Yoruba-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Yoruba---Yoruba-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Yoruba---Yoruba-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Yoruba---Yoruba-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Yoruba---Yoruba-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Yoruba---Yoruba-Bible	UNPRINTABLE	Source	count	0	NOTICE
Yoruba---Yoruba-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Yoruba---Yoruba-Bible	UNICODE	Summary	(-)Orginal	47	NOTICE
Yoruba---Yoruba-Bible	UNICODE	Summary	(+)Aionian	52	NOTICE
Yoruba---Yoruba-Bible	UNICODE	Source(-)	Basic Latin : (G)	4496	NOTICE
Yoruba---Yoruba-Bible	UNICODE	Source(-)	Basic Latin : ( )	854643	NOTICE
Yoruba---Yoruba-Bible	UNICODE	Source(-)	Basic Latin : (1)	30677	NOTICE
Yoruba---Yoruba-Bible	UNICODE	Source(-)	Basic Latin : (:)	33273	NOTICE
Yoruba---Yoruba-Bible	UNICODE	Source(-)	Basic Latin : (b)	94294	NOTICE
Yoruba---Yoruba-Bible	UNICODE	Source(-)	Basic Latin : (r)	107768	NOTICE
Yoruba---Yoruba-Bible	UNICODE	Source(-)	Basic Latin : (o)	62728	NOTICE
