# File Name: Holy-Bible---Holy-Bible---Zaramo---Kizalamo-Bible---Analysis.txt
# File Size: 24696       
# File Date: 12/13/2025 06:08:47
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Lagano da Lsambi Yesu Kilisto
# Bible Name English: Zaramo Bible
# Bible Language: Zaramo
# Bible Language English: Zaramo
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Pioneer Bible Translators
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=zaj
# Bible Source Year: 2020
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Zaramo---Kizalamo-Bible	ENCODING	Source	Holy-Bible---Zaramo---Kizalamo-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Zaramo---Kizalamo-Bible	ENCODING	Aionian	Holy-Bible---Zaramo---Kizalamo-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Zaramo---Kizalamo-Bible	BYTES	Source	bytes / chars	1108008 / 1098236 (multi-byte)	NOTICE
Zaramo---Kizalamo-Bible	BYTES	Aionian	bytes / chars	1166615 / 1156655 (multi-byte)	NOTICE
Zaramo---Kizalamo-Bible	BYTES	SourceClean	bytes / chars	1107191 / 1097419 (multi-byte)	NOTICE
Zaramo---Kizalamo-Bible	BYTES	AionianClean	bytes / chars	1164432 / 1154472 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Zaramo---Kizalamo-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Zaramo---Kizalamo-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Zaramo---Kizalamo-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Zaramo---Kizalamo-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Zaramo---Kizalamo-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Zaramo---Kizalamo-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Zaramo---Kizalamo-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Zaramo---Kizalamo-Bible	UNPRINTABLE	Source	count	0	NOTICE
Zaramo---Kizalamo-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Zaramo---Kizalamo-Bible	UNICODE	Summary	(-)Orginal	47	NOTICE
Zaramo---Kizalamo-Bible	UNICODE	Summary	(+)Aionian	53	NOTICE
Zaramo---Kizalamo-Bible	UNICODE	Source(-)	Basic Latin : (M)	8744	NOTICE
Zaramo---Kizalamo-Bible	UNICODE	Source(-)	Basic Latin : (A)	4661	NOTICE
Zaramo---Kizalamo-Bible	UNICODE	Source(-)	Basic Latin : (T)	3270	NOTICE
Zaramo---Kizalamo-Bible	UNICODE	Source(-)	Basic Latin : ( )	152297	NOTICE
Zaramo---Kizalamo-Bible	UNICODE	Source(-)	Basic Latin : (1)	8066	NOTICE
Zaramo---Kizalamo-Bible	UNICODE	Source(-)	Basic Latin : (:)	7956	NOTICE
Zaramo---Kizalamo-Bible	UNICODE	Source(-)	Basic Latin : (n)	62425	NOTICE
