# File Name: Holy-Bible---Holy-Bible---Zinza---Zinza-Bible---Analysis.txt
# File Size: 47186       
# File Date: 12/13/2025 06:08:50
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Endagano Eénsha omu Chiziinza
# Bible Name English: Zinza Bible
# Bible Language: Ecizinza
# Bible Language English: Zinza
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Wycliffe Bible Translators
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=zin
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Zinza---Zinza-Bible	ENCODING	Source	Holy-Bible---Zinza---Zinza-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Zinza---Zinza-Bible	ENCODING	Aionian	Holy-Bible---Zinza---Zinza-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Zinza---Zinza-Bible	BYTES	Source	bytes / chars	1462309 / 1383519 (multi-byte)	NOTICE
Zinza---Zinza-Bible	BYTES	Aionian	bytes / chars	1520706 / 1441773 (multi-byte)	NOTICE
Zinza---Zinza-Bible	BYTES	SourceClean	bytes / chars	1461500 / 1382710 (multi-byte)	NOTICE
Zinza---Zinza-Bible	BYTES	AionianClean	bytes / chars	1518480 / 1439552 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Zinza---Zinza-Bible	AIONIAN	Aionian	missing-verse	058-HEB-007-021	NOTICE
Zinza---Zinza-Bible	AIONIAN	Aionian	missing-verse	066-REV-020-003	NOTICE
Zinza---Zinza-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Zinza---Zinza-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Zinza---Zinza-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Zinza---Zinza-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Zinza---Zinza-Bible	AIONIAN	Aionian	missing-verse	2	NOTICE
Zinza---Zinza-Bible	AIONIAN	Aionian	aionian-verses	198	NOTICE
Zinza---Zinza-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Zinza---Zinza-Bible	UNPRINTABLE	Source	count	0	NOTICE
Zinza---Zinza-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Zinza---Zinza-Bible	UNICODE	Summary	(-)Orginal	51	NOTICE
Zinza---Zinza-Bible	UNICODE	Summary	(+)Aionian	53	NOTICE
Zinza---Zinza-Bible	UNICODE	Source(-)	Basic Latin : (M)	8017	NOTICE
Zinza---Zinza-Bible	UNICODE	Source(-)	Basic Latin : (A)	5535	NOTICE
Zinza---Zinza-Bible	UNICODE	Source(-)	Basic Latin : (T)	3215	NOTICE
Zinza---Zinza-Bible	UNICODE	Source(-)	Basic Latin : ( )	181285	NOTICE
Zinza---Zinza-Bible	UNICODE	Source(-)	Basic Latin : (1)	8053	NOTICE
Zinza---Zinza-Bible	UNICODE	Source(-)	Basic Latin : (:)	7970	NOTICE
Zinza---Zinza-Bible	UNICODE	Source(-)	Basic Latin : (g)	29062	NOTICE
